trial_id,Phase,cancer_type,sponsor,blinding_type,start_date,end_date,duration_months,target_enrollment,actual_enrollment,number_of_sites,regions,enrollment_met_target,primary_endpoint_met,enrollment_rate,patients_per_site,enrollment_achievement_pct,is_multi_site,is_multi_region,size_category,duration_category,overall_success,enrollment_success_level
TRIAL-0047,Phase 3,Melanoma,Helix Therapeutics,Double Blind,2023,2027,54,508,496,41,2,True,True,9.19,12.1,97.6,True,True,very large (400+),long(36mo+),True,Met Target
TRIAL-0048,Phase 2,Lymphoma,Clinical Research Group A,Double Blind,2022,2027,58,115,106,3,1,True,True,1.83,35.3,92.2,True,False,medium (50-150),long(36mo+),True,Met Target
TRIAL-0049,Phase 3,Melanoma,Apex Oncology Labs,Double Blind,2021,2024,38,495,480,35,2,True,False,12.63,13.7,97.0,True,True,very large (400+),long(36mo+),False,Met Target
TRIAL-0050,Phase 3,Colorectal Cancer,Clinical Research Group A,Double Blind,2019,2023,48,376,348,15,1,True,True,7.25,23.2,92.6,True,False,large (150-400),long(36mo+),True,Met Target
TRIAL-0051,Phase 1,Breast Cancer,OncoPharm Therapeutics,Open Label,2022,2023,15,36,35,2,1,True,True,2.33,17.5,97.2,True,False,Small (<50),short(<18mo),True,Met Target
TRIAL-0052,Phase 2,Prostate Cancer,Clinical Research Group A,Double Blind,2019,2021,19,132,129,5,1,True,True,6.79,25.8,97.7,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0053,Phase 3,Lung Cancer,MedTrials International,Double Blind,2023,2029,73,326,307,10,2,True,True,4.21,30.7,94.2,True,True,large (150-400),long(36mo+),True,Met Target
TRIAL-0054,Phase 1,Lung Cancer,NovaCure Biotech,Open Label,2023,2025,18,36,34,2,1,True,True,1.89,17.0,94.4,True,False,Small (<50),medium(18-36mo),True,Met Target
TRIAL-0055,Phase 4,Pancreatic Cancer,Helix Therapeutics,Double Blind,2022,2025,41,152,117,6,1,False,False,2.85,19.5,77.0,True,False,medium (50-150),long(36mo+),False,Near Target
TRIAL-0056,Phase 2,Melanoma,MedTrials International,Open Label,2022,2024,25,125,120,7,1,True,True,4.8,17.1,96.0,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0057,Phase 2,Melanoma,Global BioResearch,Open Label,2018,2021,44,152,148,4,2,True,True,3.36,37.0,97.4,True,True,medium (50-150),long(36mo+),True,Met Target
TRIAL-0058,Phase 3,Prostate Cancer,OncoPharm Therapeutics,Double Blind,2021,2024,42,503,420,36,2,False,False,10.0,11.7,83.5,True,True,very large (400+),long(36mo+),False,Near Target
TRIAL-0059,Phase 2,Breast Cancer,MedTrials International,Double Blind,2018,2018,6,113,112,6,1,True,False,18.67,18.7,99.1,True,False,medium (50-150),short(<18mo),False,Met Target
TRIAL-0060,Phase 3,Lymphoma,Helix Therapeutics,Double Blind,2020,2023,33,297,272,12,2,True,True,8.24,22.7,91.6,True,True,large (150-400),medium(18-36mo),True,Met Target
TRIAL-0061,Phase 2,Lymphoma,Clinical Research Group A,Open Label,2022,2025,37,86,79,5,2,True,False,2.14,15.8,91.9,True,True,medium (50-150),long(36mo+),False,Met Target
TRIAL-0062,Phase 2,Breast Cancer,OncoPharm Therapeutics,Double Blind,2021,2023,31,100,89,3,1,False,True,2.87,29.7,89.0,True,False,medium (50-150),medium(18-36mo),False,Near Target
TRIAL-0063,Phase 2,Pancreatic Cancer,Apex Oncology Labs,Single Blind,2021,2024,40,102,94,5,1,True,True,2.35,18.8,92.2,True,False,medium (50-150),long(36mo+),True,Met Target
TRIAL-0064,Phase 1,Breast Cancer,Apex Oncology Labs,Open Label,2023,2023,8,17,16,1,1,True,True,2.0,16.0,94.1,False,False,Small (<50),short(<18mo),True,Met Target
TRIAL-0065,Phase 1,Breast Cancer,Helix Therapeutics,Open Label,2021,2023,15,32,30,1,1,True,True,2.0,30.0,93.8,False,False,Small (<50),short(<18mo),True,Met Target
TRIAL-0066,Phase 1,Melanoma,MedTrials International,Open Label,2022,2024,14,38,32,3,1,False,True,2.29,10.7,84.2,True,False,Small (<50),short(<18mo),False,Near Target
TRIAL-0067,Phase 3,Melanoma,OncoPharm Therapeutics,Double Blind,2021,2026,56,481,474,34,2,True,True,8.46,13.9,98.5,True,True,very large (400+),long(36mo+),True,Met Target
TRIAL-0068,Phase 2,Prostate Cancer,OncoPharm Therapeutics,Double Blind,2022,2024,28,118,104,4,2,False,False,3.71,26.0,88.1,True,True,medium (50-150),medium(18-36mo),False,Near Target
TRIAL-0069,Phase 3,Leukemia,Helix Therapeutics,Double Blind,2023,2028,57,454,431,38,1,True,False,7.56,11.3,94.9,True,False,very large (400+),long(36mo+),False,Met Target
TRIAL-0070,Phase 3,Lung Cancer,NovaCure Biotech,Triple Blind,2021,2025,48,481,423,44,3,False,False,8.81,9.6,87.9,True,True,very large (400+),long(36mo+),False,Near Target
TRIAL-0071,Phase 3,Pancreatic Cancer,NovaCure Biotech,Double Blind,2019,2022,38,432,401,32,2,True,False,10.55,12.5,92.8,True,True,very large (400+),long(36mo+),False,Met Target
TRIAL-0072,Phase 1,Pancreatic Cancer,Helix Therapeutics,Open Label,2021,2022,11,50,42,5,1,False,True,3.82,8.4,84.0,True,False,Small (<50),short(<18mo),False,Near Target
TRIAL-0073,Phase 2,Melanoma,Apex Oncology Labs,Open Label,2020,2022,28,118,112,6,2,True,True,4.0,18.7,94.9,True,True,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0074,Phase 1,Prostate Cancer,Clinical Research Group A,Open Label,2019,2021,17,23,22,3,1,True,True,1.29,7.3,95.7,True,False,Small (<50),short(<18mo),True,Met Target
TRIAL-0075,Phase 2,Breast Cancer,OncoPharm Therapeutics,Open Label,2020,2023,29,112,110,5,2,True,True,3.79,22.0,98.2,True,True,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0076,Phase 2,Leukemia,NovaCure Biotech,Double Blind,2023,2025,29,84,58,6,1,False,True,2.0,9.7,69.0,True,False,medium (50-150),medium(18-36mo),False,Below Target
TRIAL-0077,Phase 1,Prostate Cancer,Apex Oncology Labs,Open Label,2023,2024,14,15,10,3,1,False,True,0.71,3.3,66.7,True,False,Small (<50),short(<18mo),False,Below Target
TRIAL-0078,Phase 2,Melanoma,OncoPharm Therapeutics,Double Blind,2019,2022,39,93,78,4,1,False,False,2.0,19.5,83.9,True,False,medium (50-150),long(36mo+),False,Near Target
TRIAL-0079,Phase 1,Breast Cancer,OncoPharm Therapeutics,Open Label,2019,2021,19,29,27,3,1,True,False,1.42,9.0,93.1,True,False,Small (<50),medium(18-36mo),False,Met Target
TRIAL-0080,Phase 1,Breast Cancer,Helix Therapeutics,Open Label,2021,2023,25,21,20,2,1,True,False,0.8,10.0,95.2,True,False,Small (<50),medium(18-36mo),False,Met Target
TRIAL-0081,Phase 2,Pancreatic Cancer,OncoPharm Therapeutics,Double Blind,2022,2025,29,120,90,5,1,False,True,3.1,18.0,75.0,True,False,medium (50-150),medium(18-36mo),False,Near Target
TRIAL-0082,Phase 1,Melanoma,OncoPharm Therapeutics,Single Blind,2022,2023,14,30,28,1,1,True,True,2.0,28.0,93.3,False,False,Small (<50),short(<18mo),True,Met Target
TRIAL-0083,Phase 2,Lymphoma,NovaCure Biotech,Double Blind,2021,2024,34,143,134,4,2,True,True,3.94,33.5,93.7,True,True,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0084,Phase 2,Lung Cancer,MedTrials International,Open Label,2020,2022,21,105,103,3,1,True,True,4.9,34.3,98.1,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0085,Phase 1,Lung Cancer,Global BioResearch,Open Label,2023,2025,19,15,14,2,1,True,True,0.74,7.0,93.3,True,False,Small (<50),medium(18-36mo),True,Met Target
TRIAL-0086,Phase 1,Melanoma,Clinical Research Group A,Single Blind,2023,2024,15,48,47,2,1,True,False,3.13,23.5,97.9,True,False,Small (<50),short(<18mo),False,Met Target
TRIAL-0087,Phase 2,Prostate Cancer,NovaCure Biotech,Open Label,2023,2026,37,60,54,3,1,True,False,1.46,18.0,90.0,True,False,medium (50-150),long(36mo+),False,Met Target
TRIAL-0088,Phase 1,Colorectal Cancer,MedTrials International,Open Label,2022,2024,24,25,19,3,1,False,True,0.79,6.3,76.0,True,False,Small (<50),medium(18-36mo),False,Near Target
TRIAL-0089,Phase 3,Lymphoma,Apex Oncology Labs,Double Blind,2022,2025,48,388,380,20,2,True,False,7.92,19.0,97.9,True,True,large (150-400),long(36mo+),False,Met Target
TRIAL-0090,Phase 2,Breast Cancer,OncoPharm Therapeutics,Open Label,2022,2025,32,101,99,7,2,True,False,3.09,14.1,98.0,True,True,medium (50-150),medium(18-36mo),False,Met Target
TRIAL-0091,Phase 3,Melanoma,Helix Therapeutics,Double Blind,2023,2025,29,412,380,10,1,True,True,13.1,38.0,92.2,True,False,large (150-400),medium(18-36mo),True,Met Target
TRIAL-0092,Phase 2,Pancreatic Cancer,OncoPharm Therapeutics,Single Blind,2023,2024,22,138,123,5,1,False,True,5.59,24.6,89.1,True,False,medium (50-150),medium(18-36mo),False,Near Target
TRIAL-0093,Phase 2,Pancreatic Cancer,Apex Oncology Labs,Double Blind,2022,2024,26,135,126,5,2,True,True,4.85,25.2,93.3,True,True,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0094,Phase 2,Lung Cancer,MedTrials International,Single Blind,2018,2022,38,129,126,6,2,True,True,3.32,21.0,97.7,True,True,medium (50-150),long(36mo+),True,Met Target
TRIAL-0095,Phase 2,Prostate Cancer,Helix Therapeutics,Single Blind,2021,2023,25,131,120,8,1,True,True,4.8,15.0,91.6,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0096,Phase 1,Melanoma,NovaCure Biotech,Single Blind,2018,2019,18,37,35,2,1,True,True,1.94,17.5,94.6,True,False,Small (<50),medium(18-36mo),True,Met Target
TRIAL-0097,Phase 1,Colorectal Cancer,Apex Oncology Labs,Open Label,2021,2021,7,15,11,3,1,False,False,1.57,3.7,73.3,True,False,Small (<50),short(<18mo),False,Below Target
TRIAL-0098,Phase 4,Pancreatic Cancer,OncoPharm Therapeutics,Double Blind,2023,2026,42,194,190,9,1,True,False,4.52,21.1,97.9,True,False,large (150-400),long(36mo+),False,Met Target
TRIAL-0099,Phase 2,Pancreatic Cancer,NovaCure Biotech,Open Label,2019,2022,27,110,104,6,1,True,False,3.85,17.3,94.5,True,False,medium (50-150),medium(18-36mo),False,Met Target
TRIAL-0100,Phase 1,Lung Cancer,Apex Oncology Labs,Open Label,2020,2022,20,39,38,2,1,True,False,1.9,19.0,97.4,True,False,Small (<50),medium(18-36mo),False,Met Target
TRIAL-0101,Phase 2,Melanoma,MedTrials International,Double Blind,2019,2021,27,84,83,7,1,True,True,3.07,11.9,98.8,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0102,Phase 2,Lymphoma,NovaCure Biotech,Double Blind,2023,2024,18,68,60,8,1,False,True,3.33,7.5,88.2,True,False,medium (50-150),medium(18-36mo),False,Near Target
TRIAL-0103,Phase 3,Lymphoma,OncoPharm Therapeutics,Double Blind,2021,2025,46,330,274,20,3,False,False,5.96,13.7,83.0,True,True,large (150-400),long(36mo+),False,Near Target
TRIAL-0104,Phase 3,Colorectal Cancer,NovaCure Biotech,Triple Blind,2022,2027,57,377,370,9,1,True,True,6.49,41.1,98.1,True,False,large (150-400),long(36mo+),True,Met Target
TRIAL-0105,Phase 3,Lung Cancer,Helix Therapeutics,Triple Blind,2021,2027,67,372,342,5,2,True,True,5.1,68.4,91.9,True,True,large (150-400),long(36mo+),True,Met Target
TRIAL-0106,Phase 3,Melanoma,Apex Oncology Labs,Double Blind,2020,2025,51,375,355,17,2,True,False,6.96,20.9,94.7,True,True,large (150-400),long(36mo+),False,Met Target
TRIAL-0107,Phase 4,Pancreatic Cancer,MedTrials International,Double Blind,2023,2025,28,192,186,7,1,True,False,6.64,26.6,96.9,True,False,large (150-400),medium(18-36mo),False,Met Target
TRIAL-0108,Phase 2,Lung Cancer,MedTrials International,Double Blind,2019,2021,19,57,46,8,1,False,False,2.42,5.8,80.7,True,False,Small (<50),medium(18-36mo),False,Near Target
TRIAL-0109,Phase 1,Breast Cancer,Apex Oncology Labs,Open Label,2022,2024,18,46,43,5,1,True,True,2.39,8.6,93.5,True,False,Small (<50),medium(18-36mo),True,Met Target
TRIAL-0110,Phase 1,Colorectal Cancer,OncoPharm Therapeutics,Open Label,2022,2024,20,21,20,2,1,True,True,1.0,10.0,95.2,True,False,Small (<50),medium(18-36mo),True,Met Target
TRIAL-0111,Phase 2,Prostate Cancer,NovaCure Biotech,Double Blind,2018,2019,16,73,65,5,1,False,False,4.06,13.0,89.0,True,False,medium (50-150),short(<18mo),False,Near Target
TRIAL-0112,Phase 1,Pancreatic Cancer,Apex Oncology Labs,Single Blind,2023,2024,15,35,33,2,1,True,True,2.2,16.5,94.3,True,False,Small (<50),short(<18mo),True,Met Target
TRIAL-0113,Phase 3,Prostate Cancer,NovaCure Biotech,Triple Blind,2022,2026,45,404,279,8,1,False,True,6.2,34.9,69.1,True,False,large (150-400),long(36mo+),False,Below Target
TRIAL-0114,Phase 3,Breast Cancer,MedTrials International,Double Blind,2023,2028,57,309,277,13,1,False,False,4.86,21.3,89.6,True,False,large (150-400),long(36mo+),False,Near Target
TRIAL-0115,Phase 3,Melanoma,MedTrials International,Triple Blind,2019,2023,40,409,399,16,2,True,False,9.98,24.9,97.6,True,True,large (150-400),long(36mo+),False,Met Target
TRIAL-0116,Phase 3,Colorectal Cancer,Clinical Research Group A,Double Blind,2021,2023,26,457,443,17,2,True,True,17.04,26.1,96.9,True,True,very large (400+),medium(18-36mo),True,Met Target
TRIAL-0117,Phase 1,Melanoma,Apex Oncology Labs,Open Label,2019,2020,17,32,29,1,1,True,True,1.71,29.0,90.6,False,False,Small (<50),short(<18mo),True,Met Target
TRIAL-0118,Phase 4,Melanoma,MedTrials International,Open Label,2020,2023,36,127,125,8,2,True,True,3.47,15.6,98.4,True,True,medium (50-150),long(36mo+),True,Met Target
TRIAL-0119,Phase 1,Lung Cancer,Global BioResearch,Open Label,2023,2025,20,40,35,1,1,False,False,1.75,35.0,87.5,False,False,Small (<50),medium(18-36mo),False,Near Target
TRIAL-0120,Phase 4,Leukemia,OncoPharm Therapeutics,Double Blind,2018,2020,28,286,188,5,1,False,True,6.71,37.6,65.7,True,False,large (150-400),medium(18-36mo),False,Below Target
TRIAL-0121,Phase 3,Lymphoma,MedTrials International,Double Blind,2019,2023,49,437,428,38,1,True,False,8.73,11.3,97.9,True,False,very large (400+),long(36mo+),False,Met Target
TRIAL-0122,Phase 4,Leukemia,Helix Therapeutics,Open Label,2021,2025,38,190,172,7,2,True,True,4.53,24.6,90.5,True,True,large (150-400),long(36mo+),True,Met Target
TRIAL-0123,Phase 1,Breast Cancer,OncoPharm Therapeutics,Open Label,2018,2019,19,25,21,2,1,False,False,1.11,10.5,84.0,True,False,Small (<50),medium(18-36mo),False,Near Target
TRIAL-0124,Phase 1,Pancreatic Cancer,Apex Oncology Labs,Open Label,2022,2023,16,50,44,7,2,False,False,2.75,6.3,88.0,True,True,Small (<50),short(<18mo),False,Near Target
TRIAL-0125,Phase 1,Lymphoma,Clinical Research Group A,Open Label,2022,2023,18,15,14,2,1,True,True,0.78,7.0,93.3,True,False,Small (<50),medium(18-36mo),True,Met Target
TRIAL-0126,Phase 2,Pancreatic Cancer,NovaCure Biotech,Double Blind,2023,2025,26,150,141,8,1,True,False,5.42,17.6,94.0,True,False,medium (50-150),medium(18-36mo),False,Met Target
TRIAL-0127,Phase 2,Breast Cancer,NovaCure Biotech,Open Label,2021,2022,16,107,89,2,1,False,True,5.56,44.5,83.2,True,False,medium (50-150),short(<18mo),False,Near Target
TRIAL-0128,Phase 2,Breast Cancer,OncoPharm Therapeutics,Double Blind,2019,2021,24,134,126,3,1,True,True,5.25,42.0,94.0,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0129,Phase 3,Prostate Cancer,Helix Therapeutics,Double Blind,2019,2024,57,418,405,29,2,True,True,7.11,14.0,96.9,True,True,very large (400+),long(36mo+),True,Met Target
TRIAL-0130,Phase 4,Colorectal Cancer,Helix Therapeutics,Open Label,2018,2021,31,148,125,3,1,False,True,4.03,41.7,84.5,True,False,medium (50-150),medium(18-36mo),False,Near Target
TRIAL-0131,Phase 1,Prostate Cancer,Helix Therapeutics,Open Label,2020,2021,16,40,33,1,1,False,False,2.06,33.0,82.5,False,False,Small (<50),short(<18mo),False,Near Target
TRIAL-0132,Phase 2,Lung Cancer,NovaCure Biotech,Single Blind,2018,2021,31,70,62,4,1,False,True,2.0,15.5,88.6,True,False,medium (50-150),medium(18-36mo),False,Near Target
TRIAL-0133,Phase 2,Melanoma,NovaCure Biotech,Double Blind,2018,2020,21,126,120,2,1,True,True,5.71,60.0,95.2,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0134,Phase 3,Pancreatic Cancer,Clinical Research Group A,Triple Blind,2020,2026,65,275,190,7,2,False,True,2.92,27.1,69.1,True,True,large (150-400),long(36mo+),False,Below Target
TRIAL-0135,Phase 2,Leukemia,NovaCure Biotech,Double Blind,2022,2025,28,108,96,6,1,False,True,3.43,16.0,88.9,True,False,medium (50-150),medium(18-36mo),False,Near Target
TRIAL-0136,Phase 3,Prostate Cancer,NovaCure Biotech,Double Blind,2021,2025,50,472,466,29,2,True,False,9.32,16.1,98.7,True,True,very large (400+),long(36mo+),False,Met Target
TRIAL-0137,Phase 2,Leukemia,Clinical Research Group A,Open Label,2023,2025,20,156,144,3,1,True,True,7.2,48.0,92.3,True,False,medium (50-150),medium(18-36mo),True,Met Target
TRIAL-0138,Phase 1,Lymphoma,OncoPharm Therapeutics,Open Label,2019,2021,23,28,26,2,1,True,True,1.13,13.0,92.9,True,False,Small (<50),medium(18-36mo),True,Met Target
TRIAL-0139,Phase 2,Leukemia,Clinical Research Group A,Open Label,2021,2023,19,95,94,4,2,True,False,4.95,23.5,98.9,True,True,medium (50-150),medium(18-36mo),False,Met Target
TRIAL-0140,Phase 2,Leukemia,OncoPharm Therapeutics,Double Blind,2019,2022,28,50,48,3,1,True,True,1.71,16.0,96.0,True,False,Small (<50),medium(18-36mo),True,Met Target
TRIAL-0141,Phase 1,Leukemia,OncoPharm Therapeutics,Open Label,2019,2020,16,26,25,3,1,True,True,1.56,8.3,96.2,True,False,Small (<50),short(<18mo),True,Met Target
TRIAL-0142,Phase 3,Breast Cancer,Helix Therapeutics,Triple Blind,2020,2024,47,372,339,13,1,True,True,7.21,26.1,91.1,True,False,large (150-400),long(36mo+),True,Met Target
