Year,Trial_Count,Avg_Duration_Months,Avg_Enrollment,Enrollment_Success_Rate,Endpoint_Success_Rate,Overall_Success_Rate
2018-08-17,1,31.0,62.0,0.0,100.0,0.0
2018-08-18,1,15.0,31.0,100.0,100.0,100.0
2018-08-20,1,17.0,28.0,100.0,0.0,0.0
2018-08-21,1,50.0,322.0,100.0,0.0,0.0
2018-08-22,1,23.0,88.0,100.0,100.0,100.0
2018-08-24,2,23.5,76.0,100.0,50.0,50.0
2018-08-26,1,12.0,104.0,100.0,0.0,0.0
2018-08-28,2,18.5,77.0,50.0,100.0,50.0
2018-09-03,1,50.0,400.0,0.0,0.0,0.0
2018-09-05,1,33.0,276.0,100.0,100.0,100.0
2018-09-08,1,42.0,104.0,0.0,100.0,0.0
2018-09-20,1,34.0,286.0,100.0,100.0,100.0
2018-09-21,2,24.5,100.0,50.0,100.0,50.0
2018-09-22,1,50.0,163.0,100.0,100.0,100.0
2018-10-05,1,34.0,106.0,100.0,100.0,100.0
2018-10-11,1,14.0,37.0,100.0,100.0,100.0
2018-10-21,1,6.0,26.0,100.0,100.0,100.0
2018-10-22,1,32.0,76.0,100.0,100.0,100.0
2018-10-23,2,38.0,212.5,100.0,50.0,50.0
2018-10-24,1,20.0,114.0,100.0,100.0,100.0
2018-10-25,1,32.0,128.0,0.0,100.0,0.0
2018-11-01,2,26.5,141.0,0.0,50.0,0.0
2018-11-03,1,16.0,50.0,100.0,100.0,100.0
2018-11-06,1,16.0,22.0,100.0,0.0,0.0
2018-11-07,2,33.5,197.0,50.0,0.0,0.0
2018-11-08,2,28.0,51.0,100.0,50.0,50.0
2018-11-13,1,32.0,106.0,100.0,100.0,100.0
2018-11-21,1,28.0,53.0,0.0,100.0,0.0
2018-11-23,1,25.0,85.0,100.0,100.0,100.0
2018-11-28,2,34.5,125.5,50.0,100.0,50.0
2018-12-02,1,42.0,157.0,100.0,0.0,0.0
2018-12-03,1,64.0,304.0,0.0,0.0,0.0
2018-12-06,1,25.0,105.0,100.0,100.0,100.0
2018-12-21,1,19.0,29.0,100.0,100.0,100.0
2018-12-25,1,31.0,16.0,100.0,100.0,100.0
2018-12-27,1,34.0,191.0,100.0,100.0,100.0
2018-12-28,1,22.0,209.0,100.0,100.0,100.0
2019-01-09,1,36.0,22.0,0.0,100.0,0.0
2019-01-11,1,14.0,22.0,100.0,0.0,0.0
2019-01-12,2,25.0,77.5,100.0,100.0,100.0
2019-01-16,1,53.0,300.0,0.0,100.0,0.0
2019-01-18,1,35.0,260.0,100.0,100.0,100.0
2019-01-20,2,38.5,120.5,100.0,50.0,50.0
2019-01-22,1,27.0,81.0,100.0,0.0,0.0
2019-01-23,1,23.0,87.0,100.0,100.0,100.0
2019-01-24,2,27.5,79.0,50.0,50.0,50.0
2019-01-26,1,21.0,14.0,0.0,100.0,0.0
2019-02-04,1,24.0,82.0,100.0,0.0,0.0
2019-02-05,2,27.0,98.5,0.0,50.0,0.0
2019-02-08,1,25.0,68.0,100.0,0.0,0.0
2019-02-09,3,24.0,145.0,100.0,30.0,30.0
2019-02-10,1,24.0,39.0,0.0,100.0,0.0
2019-02-11,1,30.0,82.0,100.0,100.0,100.0
2019-02-15,1,24.0,33.0,0.0,100.0,0.0
2019-02-19,1,13.0,91.0,100.0,0.0,0.0
2019-02-22,1,37.0,84.0,100.0,100.0,100.0
2019-02-26,1,62.0,331.0,100.0,100.0,100.0
2019-03-07,1,32.0,101.0,100.0,100.0,100.0
2019-03-08,2,37.0,293.0,50.0,50.0,0.0
2019-03-09,1,50.0,472.0,100.0,100.0,100.0
2019-03-10,2,32.0,35.5,0.0,50.0,0.0
2019-03-11,2,19.0,142.5,50.0,100.0,50.0
2019-03-14,2,35.5,290.0,100.0,50.0,50.0
2019-03-16,1,24.0,251.0,0.0,100.0,0.0
2019-03-18,1,61.0,351.0,100.0,100.0,100.0
2019-03-21,1,21.0,168.0,100.0,100.0,100.0
2019-03-22,2,15.5,71.5,100.0,100.0,100.0
2019-03-26,2,21.5,50.0,100.0,100.0,100.0
2019-03-27,1,35.0,78.0,100.0,0.0,0.0
2019-03-28,2,22.0,72.0,100.0,100.0,100.0
2019-04-01,1,53.0,229.0,0.0,0.0,0.0
2019-04-03,1,22.0,44.0,100.0,100.0,100.0
2019-04-04,1,16.0,126.0,100.0,100.0,100.0
2019-04-05,2,49.0,353.5,50.0,50.0,50.0
2019-04-21,2,41.0,215.5,50.0,50.0,0.0
2019-04-22,1,39.0,126.0,0.0,100.0,0.0
2019-04-24,2,32.5,350.5,50.0,100.0,50.0
2019-04-26,1,29.0,41.0,100.0,100.0,100.0
2019-04-27,2,36.0,123.5,0.0,100.0,0.0
2019-04-28,1,43.0,300.0,100.0,0.0,0.0
2019-05-01,2,41.0,274.5,50.0,50.0,50.0
2019-05-04,1,19.0,50.0,0.0,100.0,0.0
2019-05-19,2,22.0,165.5,0.0,50.0,0.0
2019-05-24,1,18.0,94.0,100.0,0.0,0.0
2019-05-25,1,27.0,24.0,0.0,100.0,0.0
2019-06-01,1,36.0,123.0,0.0,0.0,0.0
2019-06-08,2,37.5,302.0,100.0,100.0,100.0
2019-06-10,2,23.0,31.5,0.0,50.0,0.0
2019-06-11,1,19.0,21.0,100.0,100.0,100.0
2019-06-16,1,38.0,187.0,100.0,0.0,0.0
2019-06-21,2,45.5,159.5,100.0,100.0,100.0
2019-07-02,1,38.0,244.0,100.0,100.0,100.0
2019-07-04,1,15.0,23.0,100.0,0.0,0.0
2019-07-08,2,29.5,114.5,100.0,100.0,100.0
2019-07-18,1,21.0,53.0,100.0,0.0,0.0
2019-07-21,3,32.7,93.3,70.0,70.0,70.0
2019-07-27,1,29.0,129.0,100.0,0.0,0.0
2019-07-28,1,16.0,25.0,100.0,100.0,100.0
2019-08-01,2,54.0,397.5,100.0,0.0,0.0
2019-08-02,1,58.0,366.0,0.0,100.0,0.0
2019-08-03,1,40.0,74.0,100.0,100.0,100.0
2019-08-05,1,71.0,436.0,100.0,0.0,0.0
2019-08-08,1,30.0,90.0,0.0,100.0,0.0
2019-08-11,2,26.5,47.0,0.0,100.0,0.0
2019-08-13,2,44.5,223.0,100.0,50.0,50.0
2019-08-14,1,8.0,30.0,100.0,100.0,100.0
2019-08-18,2,30.0,65.0,100.0,100.0,100.0
2019-08-21,2,24.5,179.0,50.0,100.0,50.0
2019-08-24,1,19.0,88.0,100.0,0.0,0.0
2019-08-25,1,41.0,461.0,100.0,0.0,0.0
2019-08-26,1,25.0,138.0,100.0,0.0,0.0
2019-09-01,1,14.0,30.0,100.0,0.0,0.0
2019-09-02,2,19.5,71.5,100.0,50.0,50.0
2019-09-12,1,14.0,25.0,100.0,0.0,0.0
2019-09-16,1,46.0,351.0,100.0,100.0,100.0
2019-09-19,1,15.0,33.0,0.0,0.0,0.0
2019-09-20,1,57.0,314.0,0.0,100.0,0.0
2019-09-21,1,24.0,69.0,100.0,100.0,100.0
2019-09-24,2,37.0,295.5,50.0,50.0,50.0
2019-09-28,1,40.0,378.0,100.0,100.0,100.0
2019-10-01,1,57.0,405.0,100.0,100.0,100.0
2019-10-02,1,22.0,107.0,100.0,100.0,100.0
2019-10-03,1,15.0,23.0,0.0,100.0,0.0
2019-10-04,1,28.0,72.0,0.0,100.0,0.0
2019-10-05,1,37.0,452.0,100.0,100.0,100.0
2019-10-07,1,24.0,126.0,100.0,100.0,100.0
2019-10-09,2,27.0,208.5,50.0,50.0,0.0
2019-10-13,1,19.0,18.0,0.0,100.0,0.0
2019-10-15,2,32.5,200.0,50.0,0.0,0.0
2019-10-16,1,36.0,596.0,100.0,0.0,0.0
2019-10-17,1,27.0,104.0,100.0,0.0,0.0
2019-10-23,1,33.0,102.0,0.0,0.0,0.0
2019-11-03,1,36.0,461.0,100.0,100.0,100.0
2019-11-10,2,38.0,188.0,100.0,50.0,50.0
2019-11-11,1,43.0,130.0,100.0,100.0,100.0
2019-11-12,1,18.0,137.0,100.0,100.0,100.0
2019-11-15,1,33.0,310.0,0.0,0.0,0.0
2019-11-16,4,33.5,159.5,100.0,80.0,80.0
2019-11-18,1,41.0,272.0,100.0,100.0,100.0
2019-11-22,1,47.0,329.0,100.0,100.0,100.0
2019-11-23,1,19.0,129.0,100.0,100.0,100.0
2019-11-24,2,17.0,94.0,100.0,100.0,100.0
2019-11-26,2,29.5,129.0,50.0,0.0,0.0
2019-11-27,1,29.0,53.0,0.0,100.0,0.0
2019-11-28,2,22.0,83.0,100.0,50.0,50.0
2019-12-04,1,26.0,105.0,100.0,0.0,0.0
2019-12-05,1,27.0,219.0,0.0,100.0,0.0
2019-12-08,1,39.0,91.0,100.0,100.0,100.0
2019-12-10,1,19.0,46.0,0.0,0.0,0.0
2019-12-11,1,18.0,36.0,0.0,0.0,0.0
2019-12-13,1,18.0,25.0,0.0,100.0,0.0
2019-12-14,2,53.0,323.5,50.0,0.0,0.0
2019-12-16,1,17.0,22.0,100.0,100.0,100.0
2019-12-17,1,15.0,70.0,100.0,0.0,0.0
2019-12-18,1,55.0,427.0,100.0,0.0,0.0
2019-12-19,3,23.3,198.3,30.0,70.0,30.0
2019-12-22,1,18.0,37.0,100.0,100.0,100.0
2019-12-24,1,31.0,102.0,100.0,100.0,100.0
2019-12-28,1,46.0,402.0,0.0,100.0,0.0
2020-01-01,1,14.0,81.0,0.0,100.0,0.0
2020-01-03,1,11.0,95.0,100.0,100.0,100.0
2020-01-04,2,43.5,455.5,50.0,0.0,0.0
2020-01-05,1,16.0,33.0,0.0,0.0,0.0
2020-01-09,1,49.0,324.0,100.0,100.0,100.0
2020-01-13,1,58.0,283.0,100.0,100.0,100.0
2020-01-17,4,22.8,59.0,80.0,80.0,50.0
2020-01-24,3,38.7,206.0,100.0,70.0,70.0
2020-01-28,1,23.0,133.0,100.0,0.0,0.0
2020-02-02,1,29.0,257.0,100.0,0.0,0.0
2020-02-05,1,29.0,88.0,100.0,100.0,100.0
2020-02-06,1,49.0,239.0,100.0,0.0,0.0
2020-02-08,1,15.0,112.0,100.0,100.0,100.0
2020-02-10,1,23.0,92.0,100.0,100.0,100.0
2020-02-13,2,44.0,228.5,100.0,0.0,0.0
2020-02-14,1,46.0,487.0,100.0,0.0,0.0
2020-02-16,1,19.0,124.0,100.0,100.0,100.0
2020-02-17,1,23.0,20.0,100.0,100.0,100.0
2020-02-19,2,18.0,106.0,50.0,50.0,0.0
2020-02-21,1,21.0,12.0,0.0,0.0,0.0
2020-03-03,1,19.0,45.0,100.0,0.0,0.0
2020-03-04,1,19.0,13.0,0.0,100.0,0.0
2020-03-06,1,27.0,107.0,100.0,100.0,100.0
2020-03-07,1,30.0,332.0,100.0,100.0,100.0
2020-03-09,1,20.0,117.0,100.0,100.0,100.0
2020-03-12,2,34.5,132.5,100.0,100.0,100.0
2020-03-15,1,36.0,67.0,100.0,100.0,100.0
2020-03-19,1,44.0,349.0,0.0,100.0,0.0
2020-03-20,1,19.0,23.0,0.0,100.0,0.0
2020-03-23,1,43.0,444.0,100.0,100.0,100.0
2020-03-24,1,20.0,152.0,100.0,100.0,100.0
2020-03-26,1,18.0,22.0,0.0,0.0,0.0
2020-04-03,1,17.0,23.0,0.0,100.0,0.0
2020-04-05,1,15.0,14.0,0.0,100.0,0.0
2020-04-14,2,20.0,76.0,50.0,0.0,0.0
2020-04-15,1,14.0,14.0,100.0,100.0,100.0
2020-04-22,2,24.0,136.5,100.0,100.0,100.0
2020-04-24,3,15.3,40.3,100.0,70.0,70.0
2020-05-03,2,43.0,319.5,50.0,50.0,50.0
2020-05-04,1,61.0,333.0,0.0,100.0,0.0
2020-05-07,2,43.0,317.0,100.0,100.0,100.0
2020-05-08,1,25.0,59.0,100.0,0.0,0.0
2020-05-11,2,41.5,431.5,100.0,50.0,50.0
2020-05-15,1,44.0,172.0,100.0,0.0,0.0
2020-05-17,1,25.0,199.0,0.0,100.0,0.0
2020-05-28,1,42.0,205.0,100.0,100.0,100.0
2020-06-05,2,13.0,33.5,50.0,100.0,50.0
2020-06-06,2,22.5,56.5,50.0,100.0,50.0
2020-06-09,2,31.5,109.0,100.0,100.0,100.0
2020-06-14,1,31.0,75.0,100.0,100.0,100.0
2020-06-26,1,27.0,69.0,100.0,100.0,100.0
2020-06-27,1,21.0,98.0,100.0,0.0,0.0
2020-07-02,1,27.0,217.0,0.0,100.0,0.0
2020-07-06,1,26.0,80.0,0.0,100.0,0.0
2020-07-08,1,14.0,26.0,0.0,0.0,0.0
2020-07-09,1,19.0,27.0,0.0,100.0,0.0
2020-07-15,2,21.5,99.5,0.0,100.0,0.0
2020-07-16,1,33.0,272.0,100.0,100.0,100.0
2020-07-19,2,23.5,51.0,0.0,100.0,0.0
2020-07-21,1,50.0,309.0,100.0,0.0,0.0
2020-07-23,1,61.0,330.0,0.0,0.0,0.0
2020-07-25,1,47.0,103.0,100.0,100.0,100.0
2020-07-28,1,51.0,450.0,100.0,0.0,0.0
2020-08-01,1,27.0,109.0,100.0,100.0,100.0
2020-08-03,1,30.0,59.0,100.0,0.0,0.0
2020-08-05,2,34.0,192.5,50.0,100.0,50.0
2020-08-07,1,46.0,386.0,100.0,100.0,100.0
2020-08-16,3,41.0,202.7,70.0,70.0,70.0
2020-08-18,1,28.0,114.0,0.0,100.0,0.0
2020-08-20,3,25.3,112.0,70.0,100.0,70.0
2020-08-21,1,28.0,59.0,100.0,0.0,0.0
2020-08-22,1,47.0,411.0,100.0,100.0,100.0
2020-08-23,1,8.0,47.0,100.0,100.0,100.0
2020-08-24,1,16.0,39.0,0.0,100.0,0.0
2020-08-26,1,25.0,112.0,100.0,0.0,0.0
2020-08-27,2,32.5,114.0,0.0,50.0,0.0
2020-08-28,2,40.0,458.5,50.0,0.0,0.0
2020-09-01,1,28.0,112.0,100.0,100.0,100.0
2020-09-07,1,22.0,56.0,100.0,100.0,100.0
2020-09-09,1,20.0,38.0,100.0,0.0,0.0
2020-09-10,2,22.0,48.0,100.0,100.0,100.0
2020-09-11,1,30.0,73.0,100.0,0.0,0.0
2020-09-12,2,42.0,238.0,50.0,50.0,0.0
2020-09-15,2,32.0,342.5,100.0,50.0,50.0
2020-09-16,1,40.0,382.0,100.0,100.0,100.0
2020-09-17,1,38.0,396.0,100.0,0.0,0.0
2020-09-18,1,22.0,45.0,0.0,100.0,0.0
2020-09-21,1,29.0,86.0,100.0,0.0,0.0
2020-09-24,1,37.0,79.0,100.0,100.0,100.0
2020-09-26,1,28.0,105.0,100.0,100.0,100.0
2020-09-27,1,26.0,58.0,0.0,0.0,0.0
2020-10-02,2,39.0,242.0,100.0,50.0,50.0
2020-10-05,1,65.0,190.0,0.0,100.0,0.0
2020-10-07,1,27.0,15.0,100.0,0.0,0.0
2020-10-08,1,61.0,237.0,100.0,100.0,100.0
2020-10-11,1,31.0,71.0,0.0,100.0,0.0
2020-10-14,1,31.0,64.0,100.0,100.0,100.0
2020-10-17,1,47.0,539.0,0.0,100.0,0.0
2020-10-18,1,38.0,427.0,0.0,100.0,0.0
2020-10-19,1,50.0,259.0,100.0,0.0,0.0
2020-10-25,1,46.0,334.0,100.0,0.0,0.0
2020-10-28,2,30.5,305.0,50.0,50.0,0.0
2020-11-01,1,47.0,333.0,100.0,0.0,0.0
2020-11-03,3,18.3,80.7,70.0,100.0,70.0
2020-11-05,1,11.0,26.0,100.0,100.0,100.0
2020-11-09,1,51.0,381.0,0.0,0.0,0.0
2020-11-11,1,13.0,34.0,100.0,100.0,100.0
2020-11-16,1,23.0,141.0,0.0,100.0,0.0
2020-11-17,1,47.0,256.0,0.0,0.0,0.0
2020-11-19,1,29.0,110.0,100.0,100.0,100.0
2020-11-20,2,39.5,322.0,100.0,100.0,100.0
2020-11-21,1,39.0,179.0,0.0,0.0,0.0
2020-11-22,1,9.0,26.0,0.0,100.0,0.0
2020-11-28,1,51.0,355.0,100.0,0.0,0.0
2020-12-03,1,14.0,61.0,0.0,100.0,0.0
2020-12-08,1,15.0,20.0,0.0,100.0,0.0
2020-12-10,1,20.0,204.0,100.0,100.0,100.0
2020-12-13,1,31.0,100.0,0.0,0.0,0.0
2020-12-14,1,68.0,317.0,0.0,0.0,0.0
2020-12-19,3,34.3,130.7,70.0,70.0,70.0
2020-12-23,1,27.0,99.0,0.0,100.0,0.0
2020-12-24,3,29.0,181.3,70.0,70.0,30.0
2020-12-25,1,47.0,339.0,100.0,100.0,100.0
2020-12-27,1,45.0,256.0,0.0,100.0,0.0
2020-12-28,2,22.0,84.0,100.0,100.0,100.0
2021-01-02,1,12.0,40.0,100.0,0.0,0.0
2021-01-04,1,24.0,29.0,100.0,100.0,100.0
2021-01-07,4,28.0,160.0,50.0,80.0,50.0
2021-01-10,2,20.0,21.5,0.0,0.0,0.0
2021-01-12,1,14.0,30.0,0.0,0.0,0.0
2021-01-13,1,36.0,208.0,0.0,100.0,0.0
2021-01-17,1,30.0,418.0,100.0,0.0,0.0
2021-01-19,2,35.0,354.0,100.0,50.0,50.0
2021-01-27,1,16.0,100.0,100.0,0.0,0.0
2021-01-28,1,19.0,18.0,0.0,100.0,0.0
2021-02-01,1,31.0,120.0,100.0,0.0,0.0
2021-02-03,1,62.0,290.0,0.0,100.0,0.0
2021-02-05,1,43.0,65.0,100.0,100.0,100.0
2021-02-08,3,18.7,94.0,70.0,30.0,30.0
2021-02-10,1,28.0,77.0,100.0,0.0,0.0
2021-02-12,3,21.7,59.0,100.0,70.0,70.0
2021-02-15,1,13.0,31.0,100.0,0.0,0.0
2021-02-18,1,28.0,59.0,0.0,100.0,0.0
2021-02-20,1,47.0,370.0,100.0,0.0,0.0
2021-02-22,1,16.0,89.0,0.0,100.0,0.0
2021-02-23,1,19.0,25.0,100.0,100.0,100.0
2021-02-25,1,20.0,26.0,100.0,0.0,0.0
2021-02-27,1,46.0,489.0,100.0,100.0,100.0
2021-03-02,2,45.5,259.5,50.0,100.0,50.0
2021-03-04,1,18.0,106.0,100.0,0.0,0.0
2021-03-07,2,44.0,277.5,100.0,0.0,0.0
2021-03-08,1,23.0,90.0,0.0,100.0,0.0
2021-03-11,1,26.0,64.0,100.0,0.0,0.0
2021-03-17,1,34.0,481.0,100.0,100.0,100.0
2021-03-18,1,42.0,96.0,100.0,100.0,100.0
2021-03-20,1,23.0,35.0,100.0,100.0,100.0
2021-03-23,1,23.0,155.0,100.0,0.0,0.0
2021-03-24,1,48.0,423.0,0.0,0.0,0.0
2021-04-04,1,23.0,95.0,100.0,100.0,100.0
2021-04-05,1,23.0,31.0,100.0,100.0,100.0
2021-04-07,1,34.0,21.0,0.0,100.0,0.0
2021-04-12,2,22.0,236.0,50.0,50.0,0.0
2021-04-13,1,34.0,105.0,100.0,100.0,100.0
2021-04-15,1,35.0,329.0,0.0,0.0,0.0
2021-04-16,1,49.0,294.0,100.0,100.0,100.0
2021-04-18,1,29.0,24.0,100.0,100.0,100.0
2021-04-20,2,27.5,115.0,50.0,100.0,50.0
2021-04-24,1,14.0,43.0,0.0,100.0,0.0
2021-04-28,2,39.5,255.5,50.0,50.0,0.0
2021-05-05,1,35.0,86.0,100.0,0.0,0.0
2021-05-07,1,19.0,31.0,100.0,100.0,100.0
2021-05-09,1,30.0,223.0,100.0,100.0,100.0
2021-05-10,1,19.0,17.0,100.0,0.0,0.0
2021-05-11,1,12.0,95.0,100.0,100.0,100.0
2021-05-12,1,26.0,33.0,100.0,100.0,100.0
2021-05-18,1,18.0,17.0,0.0,0.0,0.0
2021-05-19,1,34.0,134.0,100.0,100.0,100.0
2021-05-20,1,24.0,98.0,100.0,100.0,100.0
2021-05-21,3,31.3,190.7,100.0,30.0,30.0
2021-05-24,1,24.0,27.0,100.0,100.0,100.0
2021-05-26,1,37.0,89.0,100.0,0.0,0.0
2021-05-27,1,40.0,94.0,100.0,100.0,100.0
2021-05-28,2,18.0,65.5,100.0,50.0,50.0
2021-06-02,1,52.0,300.0,0.0,0.0,0.0
2021-06-05,1,39.0,303.0,100.0,100.0,100.0
2021-06-06,3,25.3,46.7,70.0,70.0,30.0
2021-06-10,1,12.0,36.0,100.0,0.0,0.0
2021-06-13,2,32.0,206.5,100.0,50.0,50.0
2021-06-15,1,25.0,23.0,0.0,100.0,0.0
2021-06-16,1,31.0,235.0,0.0,100.0,0.0
2021-06-18,2,34.0,273.5,50.0,50.0,50.0
2021-06-19,1,27.0,80.0,100.0,100.0,100.0
2021-06-20,2,49.0,501.5,100.0,100.0,100.0
2021-06-25,1,50.0,178.0,100.0,0.0,0.0
2021-06-26,1,47.0,541.0,100.0,0.0,0.0
2021-06-27,2,24.5,58.0,50.0,100.0,50.0
2021-07-01,1,73.0,379.0,0.0,0.0,0.0
2021-07-04,1,14.0,26.0,100.0,0.0,0.0
2021-07-06,2,37.0,122.5,50.0,0.0,0.0
2021-07-10,1,41.0,158.0,100.0,0.0,0.0
2021-07-14,1,50.0,466.0,100.0,0.0,0.0
2021-07-15,1,25.0,97.0,100.0,0.0,0.0
2021-07-18,1,44.0,343.0,100.0,100.0,100.0
2021-07-20,1,43.0,511.0,100.0,0.0,0.0
2021-07-21,2,28.5,125.5,100.0,50.0,50.0
2021-07-22,1,46.0,274.0,0.0,0.0,0.0
2021-07-23,1,56.0,474.0,100.0,100.0,100.0
2021-08-02,1,29.0,445.0,0.0,100.0,0.0
2021-08-03,1,33.0,455.0,100.0,0.0,0.0
2021-08-05,1,7.0,13.0,0.0,0.0,0.0
2021-08-09,2,16.5,50.0,50.0,100.0,50.0
2021-08-10,1,24.0,55.0,100.0,100.0,100.0
2021-08-16,1,17.0,36.0,100.0,100.0,100.0
2021-08-17,1,25.0,117.0,100.0,100.0,100.0
2021-08-24,1,18.0,83.0,0.0,100.0,0.0
2021-08-25,1,11.0,26.0,0.0,100.0,0.0
2021-08-26,1,21.0,58.0,100.0,100.0,100.0
2021-08-28,1,43.0,409.0,100.0,0.0,0.0
2021-09-02,2,47.0,325.0,50.0,50.0,50.0
2021-09-03,1,42.0,211.0,0.0,100.0,0.0
2021-09-14,1,36.0,76.0,0.0,100.0,0.0
2021-09-15,1,31.0,235.0,100.0,100.0,100.0
2021-09-21,1,17.0,16.0,0.0,0.0,0.0
2021-09-22,1,36.0,111.0,100.0,0.0,0.0
2021-09-23,1,70.0,392.0,100.0,0.0,0.0
2021-09-28,1,23.0,124.0,100.0,100.0,100.0
2021-10-04,1,50.0,376.0,0.0,100.0,0.0
2021-10-07,1,33.0,149.0,100.0,0.0,0.0
2021-10-11,1,58.0,127.0,0.0,100.0,0.0
2021-10-13,1,30.0,81.0,100.0,100.0,100.0
2021-10-15,1,14.0,22.0,100.0,100.0,100.0
2021-10-16,1,45.0,329.0,0.0,0.0,0.0
2021-10-19,1,21.0,38.0,100.0,100.0,100.0
2021-10-22,1,13.0,26.0,100.0,100.0,100.0
2021-10-24,3,38.3,141.3,70.0,30.0,0.0
2021-10-25,1,12.0,13.0,0.0,100.0,0.0
2021-10-26,1,54.0,315.0,100.0,100.0,100.0
