nct_id,title,cancer_type,sponsor,phase,status,enrollment,start_date,completion_date,duration_months,blinding,allocation,intervention_model,number_of_sites,regions,dropout_rate_percent,sae_per_100_patients,primary_endpoint_met,start_year,completion_year,enrollment_category,complexity_score,region_count,enrollment_per_site,enrollment_rate,expected_duration,completed_on_time,trial_success,estimated_cost_millions,cost_per_patient_thousands
NCT2018000010,A Study of Novel Therapy in Patients With Ovarian Cancer,Ovarian Cancer,Pfizer,Phase 1,Completed,25,2020-08-01,2021-11-24,16,Open Label,Randomized,Factorial Assignment,2,Europe,34.6,22.0,False,2020,2021,Very Small (<30),6,1,12.5,1.56,18.0,True,False,1.68,67.2
NCT2018000011,A Study of Novel Therapy in Patients With Lung Cancer,Lung Cancer,Mayo Clinic,Phase 4,Completed,158,2022-02-25,2024-11-11,33,Double Blind,Randomized,Single Group Assignment,10,Australia,10.1,10.6,False,2022,2024,Medium (100-300),4,1,15.8,4.79,34.0,True,False,16.97,107.4
NCT2018000012,A Study of Novel Therapy in Patients With Prostate Cancer,Prostate Cancer,AbbVie,Phase 2,Completed,103,2018-12-10,2022-02-22,39,Single Blind,Non-Randomized,Parallel Assignment,10,"Europe, Australia",11.9,10.4,True,2018,2022,Medium (100-300),3,2,10.3,2.64,29.0,False,False,19.81,192.3
NCT2018000013,A Study of Novel Therapy in Patients With Ovarian Cancer,Ovarian Cancer,Merck,Phase 1,Completed,27,2018-01-03,2018-07-02,6,Double Blind,Randomized,Parallel Assignment,1,"North America, Europe, South America, Asia",24.2,4.2,True,2018,2018,Very Small (<30),7,4,27.0,4.5,18.0,True,True,0.38,14.1
NCT2018000014,A Study of Novel Therapy in Patients With Pancreatic Cancer,Pancreatic Cancer,National Cancer Institute,Phase 1,Completed,43,2022-04-26,2023-11-17,19,Single Blind,Randomized,Parallel Assignment,3,"South America, Australia",21.3,1.1,True,2022,2023,Small (30-100),5,2,14.3,2.26,18.0,False,False,2.98,69.3
NCT2018000015,A Study of Novel Therapy in Patients With Liver Cancer,Liver Cancer,MD Anderson,Phase 3,Completed,396,2016-01-13,2020-01-22,49,Double Blind,Non-Randomized,Parallel Assignment,16,South America,14.1,11.5,True,2016,2020,Large (300-500),3,1,24.8,8.08,48.0,False,False,40.39,102.0
NCT2018000016,A Study of Novel Therapy in Patients With Brain Cancer,Brain Cancer,Merck,Phase 1,Completed,36,2016-08-26,2018-06-17,22,Triple Blind,Randomized,Parallel Assignment,3,"North America, Europe, Australia",35.0,12.7,True,2016,2018,Small (30-100),8,3,12.0,1.64,18.0,False,False,3.41,94.7
NCT2018000017,A Study of Novel Therapy in Patients With Lymphoma,Lymphoma,Pfizer,Phase 2,Completed,187,2017-07-01,2019-07-21,25,Quadruple Blind,Randomized,Crossover Assignment,9,Australia,28.5,5.5,False,2017,2019,Medium (100-300),9,1,20.8,7.48,29.0,True,False,11.81,63.2
NCT2018000018,A Study of Novel Therapy in Patients With Prostate Cancer,Prostate Cancer,Bristol-Myers Squibb,Phase 2,Completed,37,2018-01-19,2020-07-07,30,Double Blind,Randomized,Parallel Assignment,1,"Australia, Europe",6.6,4.2,True,2018,2020,Small (30-100),6,2,37.0,1.23,29.0,False,False,1.61,43.5
NCT2018000019,A Study of Novel Therapy in Patients With Colorectal Cancer,Colorectal Cancer,Novartis,Phase 2,Completed,87,2016-11-28,2019-01-17,26,Open Label,Randomized,Sequential Assignment,5,"North America, Australia",23.1,19.9,True,2016,2019,Small (30-100),5,2,17.4,3.35,29.0,True,True,6.76,77.7
NCT2018000020,A Study of Novel Therapy in Patients With Ovarian Cancer,Ovarian Cancer,AstraZeneca,Phase 2,Completed,110,2019-04-22,2022-05-06,37,Double Blind,Randomized,Parallel Assignment,6,"North America, Australia",10.3,10.1,True,2019,2022,Medium (100-300),6,2,18.3,2.97,29.0,False,False,11.43,103.9
NCT2018000021,A Study of Novel Therapy in Patients With Lung Cancer,Lung Cancer,Novartis,Early Phase 1,Completed,28,2018-09-09,2020-04-01,19,Open Label,Randomized,Parallel Assignment,1,"Europe, South America",26.2,4.5,False,2018,2020,Very Small (<30),4,2,28.0,1.47,19.0,True,False,1.03,36.8
NCT2018000022,A Study of Novel Therapy in Patients With Pancreatic Cancer,Pancreatic Cancer,MD Anderson,Phase 3,Completed,679,2015-11-27,2020-06-03,55,Double Blind,Single Group,Parallel Assignment,76,North America,5.4,20.1,False,2015,2020,Very Large (500+),3,1,8.9,12.35,48.0,False,False,211.04,310.8
NCT2018000023,A Study of Novel Therapy in Patients With Colorectal Cancer,Colorectal Cancer,Bristol-Myers Squibb,Phase 3,Completed,276,2019-10-07,2024-03-14,54,Double Blind,Randomized,Single Group Assignment,18,"Asia, North America",31.3,4.8,True,2019,2024,Medium (100-300),5,2,15.3,5.11,48.0,False,False,49.43,179.1
NCT2018000024,A Study of Novel Therapy in Patients With Melanoma,Melanoma,Pfizer,Phase 2,Completed,96,2015-06-25,2018-03-11,33,Open Label,Single Group,Parallel Assignment,9,"South America, North America",16.7,6.7,True,2015,2018,Small (30-100),2,2,10.7,2.91,29.0,False,False,15.14,157.7
NCT2018000025,A Study of Novel Therapy in Patients With Gastric Cancer,Gastric Cancer,Roche,Phase 4,Completed,417,2015-06-19,2017-06-08,24,Double Blind,Randomized,Parallel Assignment,21,"North America, Asia, Australia, South America",39.2,11.9,True,2015,2017,Large (300-500),7,4,19.9,17.38,34.0,True,True,26.45,63.4
NCT2018000026,A Study of Novel Therapy in Patients With Ovarian Cancer,Ovarian Cancer,Johnson & Johnson,Phase 2,Completed,91,2017-04-28,2020-05-12,37,Open Label,Non-Randomized,Parallel Assignment,8,Asia,24.0,4.0,False,2017,2020,Small (30-100),1,1,11.4,2.46,29.0,False,False,15.07,165.6
NCT2018000027,A Study of Novel Therapy in Patients With Liver Cancer,Liver Cancer,Mayo Clinic,Phase 2,Completed,39,2018-05-06,2019-12-27,20,Triple Blind,Randomized,Sequential Assignment,2,South America,11.8,11.1,True,2018,2019,Small (30-100),7,1,19.5,1.95,29.0,True,True,2.12,54.4
NCT2018000028,A Study of Novel Therapy in Patients With Prostate Cancer,Prostate Cancer,Merck,Phase 3,Completed,408,2015-11-07,2018-04-25,30,Single Blind,Randomized,Parallel Assignment,18,"Australia, South America",18.9,2.5,False,2015,2018,Large (300-500),5,2,22.7,13.6,48.0,True,False,28.22,69.2
NCT2018000029,A Study of Novel Therapy in Patients With Leukemia,Leukemia,Pfizer,Phase 3,Completed,259,2016-05-06,2020-08-13,52,Double Blind,Single Group,Parallel Assignment,29,"Asia, South America",18.0,17.7,False,2016,2020,Medium (100-300),4,2,8.9,4.98,48.0,False,False,76.18,294.1
NCT2018000030,A Study of Novel Therapy in Patients With Lymphoma,Lymphoma,National Cancer Institute,Phase 2,Completed,126,2018-05-02,2019-10-24,18,Double Blind,Randomized,Sequential Assignment,10,"Europe, Asia, Australia",5.6,8.9,True,2018,2019,Medium (100-300),8,3,12.6,7.0,29.0,True,True,9.38,74.4
NCT2018000031,A Study of Novel Therapy in Patients With Leukemia,Leukemia,National Cancer Institute,Phase 3,Completed,502,2020-11-28,2022-10-19,23,Open Label,Single Group,Single Group Assignment,62,"South America, Asia",9.2,5.0,False,2020,2022,Very Large (500+),1,2,8.1,21.83,48.0,True,False,72.81,145.0
NCT2018000032,A Study of Novel Therapy in Patients With Liver Cancer,Liver Cancer,Johnson & Johnson,Phase 1,Completed,31,2017-10-19,2020-06-05,32,Single Blind,Randomized,Parallel Assignment,2,Australia,61.8,9.6,True,2017,2020,Small (30-100),4,1,15.5,0.97,18.0,False,False,3.29,106.1
NCT2018000033,A Study of Novel Therapy in Patients With Brain Cancer,Brain Cancer,Sanofi,Phase 2,Completed,68,2018-09-16,2021-01-03,28,Triple Blind,Single Group,Single Group Assignment,3,Australia,18.9,5.6,True,2018,2021,Small (30-100),3,1,22.7,2.43,29.0,True,True,4.4,64.7
NCT2018000034,A Study of Novel Therapy in Patients With Prostate Cancer,Prostate Cancer,MD Anderson,Phase 3,Completed,302,2019-04-26,2024-05-29,62,Open Label,Randomized,Parallel Assignment,25,"North America, South America",20.4,18.6,True,2019,2024,Large (300-500),4,2,12.1,4.87,48.0,False,False,78.41,259.6
NCT2018000035,A Study of Novel Therapy in Patients With Prostate Cancer,Prostate Cancer,Mayo Clinic,Phase 3,Completed,590,2021-08-13,2024-08-27,37,Open Label,Non-Randomized,Parallel Assignment,68,"North America, South America, Australia, Asia",18.7,3.6,False,2021,2024,Very Large (500+),3,4,8.7,15.95,48.0,True,False,127.57,216.2
NCT2018000036,A Study of Novel Therapy in Patients With Brain Cancer,Brain Cancer,Pfizer,Phase 3,Completed,644,2018-02-15,2020-04-05,26,Open Label,Randomized,Single Group Assignment,55,"South America, Australia",12.6,20.2,False,2018,2020,Very Large (500+),3,2,11.7,24.77,48.0,True,False,73.43,114.0
NCT2018000037,A Study of Novel Therapy in Patients With Colorectal Cancer,Colorectal Cancer,Mayo Clinic,Phase 2,Completed,100,2022-08-09,2024-10-27,27,Triple Blind,Non-Randomized,Parallel Assignment,10,"Europe, Asia",17.9,13.4,True,2022,2024,Medium (100-300),5,2,10.0,3.7,29.0,True,True,13.8,138.0
NCT2018000038,A Study of Novel Therapy in Patients With Prostate Cancer,Prostate Cancer,Bristol-Myers Squibb,Phase 3,Completed,719,2020-06-18,2021-12-10,18,Open Label,Randomized,Parallel Assignment,29,"North America, South America, Europe",13.6,11.3,True,2020,2021,Very Large (500+),5,3,24.8,39.94,48.0,True,True,28.26,39.3
NCT2018000039,A Study of Novel Therapy in Patients With Breast Cancer,Breast Cancer,Merck,Phase 2,Completed,75,2021-07-25,2024-09-07,38,Double Blind,Non-Randomized,Sequential Assignment,8,"Asia, Australia",15.6,15.1,False,2021,2024,Small (30-100),5,2,9.4,1.97,29.0,False,False,15.42,205.6
NCT2018000040,A Study of Novel Therapy in Patients With Lymphoma,Lymphoma,AbbVie,Phase 4,Completed,271,2018-08-08,2021-10-21,39,Open Label,Randomized,Parallel Assignment,22,"South America, Europe, Asia",23.6,14.1,True,2018,2021,Medium (100-300),5,3,12.3,6.95,34.0,False,False,43.71,161.3
NCT2018000041,A Study of Novel Therapy in Patients With Pancreatic Cancer,Pancreatic Cancer,National Cancer Institute,Phase 4,Completed,248,2015-02-21,2016-04-16,14,Single Blind,Single Group,Parallel Assignment,18,"Europe, South America",5.5,7.1,True,2015,2016,Medium (100-300),3,2,13.8,17.71,34.0,True,True,13.34,53.8
NCT2018000042,A Study of Novel Therapy in Patients With Lymphoma,Lymphoma,Bristol-Myers Squibb,Phase 3,Completed,523,2021-05-27,2026-05-01,60,Open Label,Randomized,Single Group Assignment,80,"North America, Australia",34.0,11.7,False,2021,2026,Very Large (500+),3,2,6.5,8.72,48.0,False,False,241.57,461.9
NCT2018000043,A Study of Novel Therapy in Patients With Prostate Cancer,Prostate Cancer,Pfizer,Phase 4,Completed,189,2017-04-05,2022-01-09,58,Single Blind,Randomized,Sequential Assignment,9,"Asia, Europe, Australia",39.9,2.7,True,2017,2022,Medium (100-300),7,3,21.0,3.26,34.0,False,False,26.67,141.1
NCT2018000044,A Study of Novel Therapy in Patients With Lung Cancer,Lung Cancer,Roche,Phase 3,Completed,493,2019-02-19,2023-10-26,57,Open Label,Randomized,Single Group Assignment,22,"Europe, North America",23.3,18.0,False,2019,2023,Large (300-500),3,2,22.4,8.65,48.0,False,False,64.18,130.2
NCT2018000045,A Study of Novel Therapy in Patients With Prostate Cancer,Prostate Cancer,Novartis,Phase 3,Completed,377,2019-11-20,2024-07-26,57,Triple Blind,Non-Randomized,Single Group Assignment,11,"South America, Asia",32.9,6.0,True,2019,2024,Large (300-500),4,2,34.3,6.61,48.0,False,False,32.48,86.2
NCT2018000046,A Study of Novel Therapy in Patients With Breast Cancer,Breast Cancer,Johnson & Johnson,Phase 3,Completed,329,2022-02-14,2026-04-24,51,Quadruple Blind,Non-Randomized,Crossover Assignment,14,"Australia, Asia",8.5,5.0,False,2022,2026,Large (300-500),8,2,23.5,6.45,48.0,False,False,36.69,111.5
NCT2018000047,A Study of Novel Therapy in Patients With Brain Cancer,Brain Cancer,Sanofi,Phase 4,Completed,182,2021-12-19,2022-11-14,11,Open Label,Single Group,Crossover Assignment,3,South America,37.8,3.4,True,2021,2022,Medium (100-300),3,1,60.7,16.55,34.0,True,True,2.2,12.1
NCT2018000048,A Study of Novel Therapy in Patients With Pancreatic Cancer,Pancreatic Cancer,MD Anderson,Phase 2,Completed,112,2021-06-01,2023-02-21,21,Single Blind,Randomized,Parallel Assignment,7,"Asia, Australia, South America",16.0,13.6,False,2021,2023,Medium (100-300),6,3,16.0,5.33,29.0,True,False,7.69,68.7
NCT2018000049,A Study of Novel Therapy in Patients With Breast Cancer,Breast Cancer,AbbVie,Phase 2,Completed,83,2018-02-08,2020-07-27,30,Double Blind,Randomized,Crossover Assignment,9,"South America, Australia",29.3,4.3,False,2018,2020,Small (30-100),8,2,9.2,2.77,29.0,False,False,13.75,165.7
NCT2018000050,A Study of Novel Therapy in Patients With Prostate Cancer,Prostate Cancer,Johnson & Johnson,Phase 1,Completed,39,2018-05-22,2020-04-11,23,Double Blind,Randomized,Single Group Assignment,2,"Australia, Asia, Europe, South America, North America",52.3,32.0,True,2018,2020,Small (30-100),6,5,19.5,1.7,18.0,False,False,2.42,62.1
NCT2018000051,A Study of Novel Therapy in Patients With Gastric Cancer,Gastric Cancer,Merck,Phase 1,Completed,16,2020-02-24,2021-07-18,17,Double Blind,Non-Randomized,Parallel Assignment,1,"Asia, Australia, North America",7.4,9.3,False,2020,2021,Very Small (<30),5,3,16.0,0.94,18.0,True,False,0.9,56.2
NCT2018000052,A Study of Novel Therapy in Patients With Leukemia,Leukemia,Roche,Phase 2,Completed,113,2019-01-23,2023-01-02,48,Double Blind,Randomized,Factorial Assignment,10,Europe,34.3,2.4,True,2019,2023,Medium (100-300),8,1,11.3,2.35,29.0,False,False,24.34,215.4
NCT2018000053,A Study of Novel Therapy in Patients With Lung Cancer,Lung Cancer,Pfizer,Phase 3,Completed,674,2019-08-16,2023-05-27,46,Single Blind,Randomized,Parallel Assignment,80,"North America, Australia, Europe, Asia",25.7,22.5,True,2019,2023,Very Large (500+),6,4,8.4,14.65,48.0,True,True,186.02,276.0
NCT2018000054,A Study of Novel Therapy in Patients With Breast Cancer,Breast Cancer,Roche,Phase 3,Completed,382,2017-10-10,2023-03-13,66,Open Label,Randomized,Single Group Assignment,23,"Australia, Europe",5.3,9.2,False,2017,2023,Large (300-500),3,2,16.6,5.79,48.0,False,False,77.05,201.7
NCT2018000055,A Study of Novel Therapy in Patients With Brain Cancer,Brain Cancer,Bristol-Myers Squibb,Phase 2,Completed,101,2021-05-19,2023-07-08,26,Double Blind,Non-Randomized,Single Group Assignment,5,"Asia, North America",4.0,12.1,True,2021,2023,Medium (100-300),3,2,20.2,3.88,29.0,True,True,6.8,67.3
NCT2018000056,A Study of Novel Therapy in Patients With Lung Cancer,Lung Cancer,Roche,Phase 1,Completed,10,2015-07-15,2017-08-03,25,Double Blind,Randomized,Parallel Assignment,2,"South America, North America, Asia",27.0,18.5,True,2015,2017,Very Small (<30),7,3,5.0,0.4,18.0,False,False,2.53,253.0
NCT2018000057,A Study of Novel Therapy in Patients With Liver Cancer,Liver Cancer,National Cancer Institute,Phase 2,Completed,102,2018-07-04,2021-10-16,40,Double Blind,Non-Randomized,Sequential Assignment,4,Europe,16.5,20.7,False,2018,2021,Medium (100-300),4,1,25.5,2.55,29.0,False,False,8.31,81.5
NCT2018000058,A Study of Novel Therapy in Patients With Pancreatic Cancer,Pancreatic Cancer,Bristol-Myers Squibb,Phase 2,Completed,142,2022-02-15,2023-02-10,12,Double Blind,Non-Randomized,Sequential Assignment,10,"South America, North America",14.5,22.3,True,2022,2023,Medium (100-300),5,2,14.2,11.83,29.0,True,True,6.43,45.3
NCT2018000059,A Study of Novel Therapy in Patients With Gastric Cancer,Gastric Cancer,AstraZeneca,Phase 4,Completed,205,2019-01-03,2022-11-13,47,Open Label,Non-Randomized,Sequential Assignment,28,"Asia, North America, South America, Europe, Australia",35.6,8.0,False,2019,2022,Medium (100-300),4,5,7.3,4.36,34.0,False,False,66.42,324.0
NCT2018000060,A Study of Novel Therapy in Patients With Pancreatic Cancer,Pancreatic Cancer,Johnson & Johnson,Phase 1,Completed,10,2022-02-16,2023-07-11,17,Single Blind,Randomized,Single Group Assignment,1,"South America, Asia",4.8,10.9,True,2022,2023,Very Small (<30),4,2,10.0,0.59,18.0,True,True,0.88,88.0
NCT2018000061,A Study of Novel Therapy in Patients With Ovarian Cancer,Ovarian Cancer,Pfizer,Phase 2,Completed,62,2022-02-11,2025-02-25,37,Open Label,Randomized,Crossover Assignment,10,"North America, South America, Europe",20.1,12.0,True,2022,2025,Small (30-100),7,3,6.2,1.68,29.0,False,False,18.69,301.5
NCT2018000062,A Study of Novel Therapy in Patients With Pancreatic Cancer,Pancreatic Cancer,Sanofi,Phase 2,Completed,78,2022-01-07,2023-10-29,22,Open Label,Randomized,Parallel Assignment,9,Australia,23.0,28.5,False,2022,2023,Small (30-100),3,1,8.7,3.55,29.0,True,False,10.13,129.9
NCT2018000063,A Study of Novel Therapy in Patients With Melanoma,Melanoma,AbbVie,Phase 3,Completed,405,2015-09-14,2020-03-21,55,Open Label,Single Group,Sequential Assignment,24,"Europe, South America, Asia, Australia",33.8,7.7,True,2015,2020,Large (300-500),4,4,16.9,7.36,48.0,False,False,67.22,166.0
NCT2018000064,A Study of Novel Therapy in Patients With Brain Cancer,Brain Cancer,Sanofi,Phase 2,Completed,78,2018-08-18,2020-08-07,24,Open Label,Randomized,Single Group Assignment,4,"Asia, South America, Europe, Australia",31.6,24.1,False,2018,2020,Small (30-100),4,4,19.5,3.25,29.0,True,False,5.03,64.5
NCT2018000065,A Study of Novel Therapy in Patients With Melanoma,Melanoma,National Cancer Institute,Phase 2,Completed,90,2022-03-15,2025-04-28,38,Double Blind,Randomized,Single Group Assignment,10,"Asia, Europe",3.4,17.9,False,2022,2025,Small (30-100),5,2,9.0,2.37,29.0,False,False,19.27,214.1
NCT2018000066,A Study of Novel Therapy in Patients With Lymphoma,Lymphoma,Merck,Phase 1,Completed,10,2021-01-11,2022-08-04,19,Double Blind,Non-Randomized,Crossover Assignment,2,"Europe, South America, North America, Asia, Australia",16.6,4.8,False,2021,2022,Very Small (<30),7,5,5.0,0.53,18.0,False,False,1.93,193.0
NCT2018000067,A Study of Novel Therapy in Patients With Brain Cancer,Brain Cancer,Novartis,Phase 4,Completed,113,2022-01-24,2025-03-09,38,Open Label,Single Group,Factorial Assignment,3,"Asia, Australia",29.1,22.0,True,2022,2025,Medium (100-300),5,2,37.7,2.97,34.0,False,False,6.04,53.5
NCT2018000068,A Study of Novel Therapy in Patients With Lung Cancer,Lung Cancer,AstraZeneca,Phase 2,Completed,160,2021-06-21,2024-05-06,35,Double Blind,Non-Randomized,Sequential Assignment,2,"Europe, Asia",8.4,15.9,False,2021,2024,Medium (100-300),5,2,80.0,4.57,29.0,False,False,3.98,24.9
NCT2018000069,A Study of Novel Therapy in Patients With Lymphoma,Lymphoma,Novartis,Phase 3,Completed,686,2016-08-06,2020-07-16,48,Double Blind,Single Group,Parallel Assignment,70,Asia,23.4,6.1,True,2016,2020,Very Large (500+),3,1,9.8,14.29,48.0,True,True,170.06,247.9
NCT2018000070,A Study of Novel Therapy in Patients With Ovarian Cancer,Ovarian Cancer,Johnson & Johnson,Phase 1,Completed,25,2017-03-06,2018-03-31,13,Open Label,Single Group,Single Group Assignment,1,"Australia, Europe",21.3,5.1,True,2017,2018,Very Small (<30),1,2,25.0,1.92,18.0,True,True,0.72,28.8
NCT2018000071,A Study of Novel Therapy in Patients With Brain Cancer,Brain Cancer,Bristol-Myers Squibb,Phase 3,Completed,513,2015-08-10,2020-02-15,55,Double Blind,Randomized,Parallel Assignment,42,"Asia, South America, Australia, Europe, North America",33.3,13.6,False,2015,2020,Very Large (500+),7,5,12.2,9.33,48.0,False,False,117.04,228.1
NCT2018000072,A Study of Novel Therapy in Patients With Lymphoma,Lymphoma,Sanofi,Phase 1,Completed,17,2016-04-13,2016-11-09,7,Double Blind,Randomized,Factorial Assignment,2,South America,4.0,13.2,True,2016,2016,Very Small (<30),8,1,8.5,2.43,18.0,True,True,0.75,44.1
NCT2018000073,A Study of Novel Therapy in Patients With Liver Cancer,Liver Cancer,Mayo Clinic,Phase 2,Completed,33,2015-10-24,2020-06-29,57,Single Blind,Single Group,Parallel Assignment,1,"Asia, Europe",5.7,6.1,True,2015,2020,Small (30-100),3,2,33.0,0.58,29.0,False,False,2.95,89.4
NCT2018000074,A Study of Novel Therapy in Patients With Liver Cancer,Liver Cancer,Mayo Clinic,Phase 3,Completed,550,2017-11-04,2021-01-17,39,Quadruple Blind,Non-Randomized,Parallel Assignment,48,Asia,37.7,0.4,False,2017,2021,Very Large (500+),5,1,11.5,14.1,48.0,True,False,95.25,173.2
NCT2018000075,A Study of Novel Therapy in Patients With Melanoma,Melanoma,AstraZeneca,Phase 1,Completed,17,2021-03-07,2022-09-28,19,Open Label,Randomized,Factorial Assignment,3,"Asia, Europe",18.4,7.4,True,2021,2022,Very Small (<30),7,2,5.7,0.89,18.0,False,False,2.9,170.6
NCT2018000076,A Study of Novel Therapy in Patients With Brain Cancer,Brain Cancer,Bristol-Myers Squibb,Phase 3,Completed,450,2020-02-15,2023-06-29,41,Quadruple Blind,Randomized,Factorial Assignment,22,"Australia, Asia, North America, Europe, South America",14.6,11.4,True,2020,2023,Large (300-500),12,5,20.5,10.98,48.0,True,True,46.45,103.2
NCT2018000077,A Study of Novel Therapy in Patients With Leukemia,Leukemia,MD Anderson,Phase 1,Completed,45,2019-10-13,2021-02-04,16,Triple Blind,Single Group,Parallel Assignment,1,"Australia, Asia",49.4,3.4,False,2019,2021,Small (30-100),5,2,45.0,2.81,18.0,True,False,0.94,20.9
NCT2018000078,A Study of Novel Therapy in Patients With Lung Cancer,Lung Cancer,MD Anderson,Phase 1,Completed,25,2022-12-10,2025-03-29,28,Double Blind,Randomized,Parallel Assignment,1,"South America, North America",23.1,9.9,True,2022,2025,Very Small (<30),6,2,25.0,0.89,18.0,False,False,1.48,59.2
NCT2018000079,A Study of Novel Therapy in Patients With Colorectal Cancer,Colorectal Cancer,Johnson & Johnson,Phase 4,Completed,261,2022-06-22,2025-07-06,37,Quadruple Blind,Non-Randomized,Single Group Assignment,28,"Europe, South America, Asia",22.5,5.9,True,2022,2025,Medium (100-300),6,3,9.3,7.05,34.0,False,False,52.58,201.5
NCT2018000080,A Study of Novel Therapy in Patients With Lymphoma,Lymphoma,Bristol-Myers Squibb,Phase 2,Completed,107,2015-12-12,2018-07-29,32,Open Label,Randomized,Parallel Assignment,7,Asia,17.1,8.8,True,2015,2018,Medium (100-300),3,1,15.3,3.34,29.0,False,False,11.52,107.7
NCT2018000081,A Study of Novel Therapy in Patients With Leukemia,Leukemia,Pfizer,Early Phase 1,Completed,20,2021-05-07,2022-07-31,15,Quadruple Blind,Single Group,Crossover Assignment,1,"Australia, North America, South America",30.0,3.5,False,2021,2022,Very Small (<30),9,3,20.0,1.33,19.0,True,False,0.81,40.5
NCT2018000082,A Study of Novel Therapy in Patients With Colorectal Cancer,Colorectal Cancer,National Cancer Institute,Phase 1,Completed,32,2018-02-27,2019-02-22,12,Triple Blind,Randomized,Parallel Assignment,1,"Europe, North America",20.2,4.3,True,2018,2019,Small (30-100),7,2,32.0,2.67,18.0,True,True,0.7,21.9
NCT2018000083,A Study of Novel Therapy in Patients With Colorectal Cancer,Colorectal Cancer,AbbVie,Early Phase 1,Completed,12,2019-03-04,2020-09-24,19,Double Blind,Randomized,Parallel Assignment,1,"North America, Europe",23.7,8.0,True,2019,2020,Very Small (<30),6,2,12.0,0.63,19.0,True,True,0.99,82.5
NCT2018000084,A Study of Novel Therapy in Patients With Lymphoma,Lymphoma,AbbVie,Phase 1,Completed,49,2016-12-03,2018-05-27,18,Single Blind,Non-Randomized,Single Group Assignment,1,"Europe, North America",15.5,4.2,True,2016,2018,Small (30-100),2,2,49.0,2.72,18.0,True,True,1.05,21.4
