trial_id,Phase,cancer_type,sponsor,blinding_type,start_date,end_date,duration_months,target_enrollment,actual_enrollment,number_of_sites,regions,enrollment_met_target,primary_endpoint_met
TRIAL-0017,Phase 1,Leukemia,MedTrials International,Single Blind,2018-04-19,2019-10-11,18,24,14,1,1,False,False
TRIAL-0018,Phase 1,Pancreatic Cancer,MedTrials International,Open Label,2019-03-22,2020-07-14,16,22,11,3,1,False,True
TRIAL-0019,Phase 2,Melanoma,Helix Therapeutics,Double Blind,2022-12-23,2025-01-11,25,100,77,5,2,False,True
TRIAL-0020,Phase 2,Leukemia,NovaCure Biotech,Double Blind,2019-02-11,2022-04-26,39,95,84,5,1,False,True
TRIAL-0021,Phase 2,Prostate Cancer,OncoPharm Therapeutics,Open Label,2018-04-03,2020-03-23,24,42,30,3,1,False,False
TRIAL-0022,Phase 3,Lung Cancer,Helix Therapeutics,Double Blind,2019-12-19,2023-10-29,47,380,271,20,2,False,False
TRIAL-0023,Phase 1,Pancreatic Cancer,MedTrials International,Open Label,2018-11-14,2020-11-03,24,41,36,1,1,False,True
TRIAL-0024,Phase 2,Breast Cancer,Clinical Research Group A,Double Blind,2021-12-11,2024-10-26,35,117,106,7,1,True,False
TRIAL-0025,Phase 1,Prostate Cancer,Global BioResearch,Open Label,2021-03-09,2022-07-02,16,30,20,1,1,False,True
TRIAL-0026,Phase 3,Lung Cancer,NovaCure Biotech,Triple Blind,2022-01-03,2025-10-14,46,293,201,8,1,False,False
TRIAL-0027,Phase 3,Colorectal Cancer,NovaCure Biotech,Double Blind,2018-03-13,2022-08-19,54,321,244,11,3,False,True
TRIAL-0028,Phase 2,Pancreatic Cancer,Apex Oncology Labs,Single Blind,2022-11-23,2025-01-11,26,106,91,7,2,False,True
TRIAL-0029,Phase 1,Prostate Cancer,OncoPharm Therapeutics,Open Label,2018-12-11,2020-01-05,13,32,19,3,1,False,True
TRIAL-0030,Phase 2,Colorectal Cancer,OncoPharm Therapeutics,Double Blind,2019-02-20,2021-12-06,34,107,78,2,1,False,True
TRIAL-0031,Phase 3,Lymphoma,OncoPharm Therapeutics,Triple Blind,2018-10-03,2021-06-19,33,429,271,12,2,False,True
TRIAL-0032,Phase 2,Leukemia,Apex Oncology Labs,Open Label,2020-07-05,2021-12-27,18,64,56,7,1,False,False
TRIAL-0033,Phase 2,Leukemia,MedTrials International,Double Blind,2021-10-19,2024-03-07,29,128,112,2,1,False,False
TRIAL-0034,Phase 1,Prostate Cancer,Helix Therapeutics,Open Label,2018-04-12,2019-08-05,16,21,10,2,1,False,True
TRIAL-0035,Phase 2,Melanoma,Helix Therapeutics,Double Blind,2018-11-27,2021-02-14,27,100,95,8,2,True,True
TRIAL-0036,Phase 4,Lung Cancer,Global BioResearch,Open Label,2023-09-05,2027-03-18,43,135,107,2,1,False,True
TRIAL-0037,Phase 2,Leukemia,Global BioResearch,Double Blind,2021-05-28,2023-04-18,23,74,54,8,1,False,True
TRIAL-0038,Phase 2,Melanoma,OncoPharm Therapeutics,Open Label,2020-03-24,2021-12-14,21,105,77,8,1,False,True
TRIAL-0039,Phase 3,Breast Cancer,OncoPharm Therapeutics,Double Blind,2020-10-18,2025-09-22,60,405,186,9,1,False,True
TRIAL-0040,Phase 1,Melanoma,Apex Oncology Labs,Single Blind,2020-04-22,2021-11-13,19,16,10,1,1,False,True
TRIAL-0041,Phase 1,Lymphoma,Helix Therapeutics,Open Label,2019-03-14,2020-03-08,12,35,24,1,1,False,True
TRIAL-0042,Phase 3,Leukemia,MedTrials International,Triple Blind,2023-02-13,2025-04-03,26,249,215,12,2,False,False
TRIAL-0043,Phase 3,Prostate Cancer,Global BioResearch,Triple Blind,2019-04-01,2022-04-15,37,435,297,19,2,False,False
TRIAL-0044,Phase 2,Melanoma,MedTrials International,Open Label,2023-09-13,2027-07-24,47,89,73,8,1,False,False
TRIAL-0045,Phase 3,Leukemia,OncoPharm Therapeutics,Double Blind,2020-01-04,2024-12-08,60,584,429,31,1,False,False
TRIAL-0046,Phase 2,Leukemia,NovaCure Biotech,Double Blind,2022-04-09,2023-12-30,21,81,74,6,1,True,True
TRIAL-0047,Phase 2,Prostate Cancer,Apex Oncology Labs,Single Blind,2022-06-22,2025-05-07,35,149,112,7,2,False,False
TRIAL-0048,Phase 3,Melanoma,Helix Therapeutics,Double Blind,2023-05-18,2026-07-31,39,526,280,18,2,False,True
TRIAL-0049,Phase 2,Lymphoma,Clinical Research Group A,Double Blind,2022-10-10,2024-03-03,17,61,26,1,1,False,True
TRIAL-0050,Phase 3,Melanoma,Apex Oncology Labs,Double Blind,2021-11-07,2025-08-18,46,389,295,15,2,False,False
TRIAL-0051,Phase 3,Colorectal Cancer,Clinical Research Group A,Double Blind,2022-06-03,2026-02-12,45,353,144,6,2,False,False
TRIAL-0052,Phase 3,Melanoma,Global BioResearch,Triple Blind,2019-08-20,2022-12-02,40,406,313,9,1,False,False
TRIAL-0053,Phase 1,Lymphoma,Clinical Research Group A,Open Label,2023-07-16,2024-10-08,15,51,39,3,1,False,True
TRIAL-0054,Phase 1,Breast Cancer,MedTrials International,Single Blind,2021-04-06,2022-05-31,14,32,27,1,1,False,False
TRIAL-0055,Phase 3,Pancreatic Cancer,OncoPharm Therapeutics,Double Blind,2021-11-17,2025-03-01,40,364,225,8,1,False,False
TRIAL-0056,Phase 2,Pancreatic Cancer,Helix Therapeutics,Double Blind,2022-08-06,2023-08-31,13,126,109,6,1,False,False
TRIAL-0057,Phase 2,Melanoma,MedTrials International,Open Label,2020-09-16,2023-12-30,40,63,30,3,1,False,True
TRIAL-0058,Phase 2,Lung Cancer,Clinical Research Group A,Open Label,2022-02-05,2023-12-27,23,86,56,4,1,False,True
TRIAL-0059,Phase 2,Colorectal Cancer,Clinical Research Group A,Open Label,2022-08-14,2024-09-02,25,128,74,5,1,False,True
TRIAL-0060,Phase 3,Lymphoma,MedTrials International,Double Blind,2022-07-16,2027-08-19,62,338,252,5,2,False,True
TRIAL-0061,Phase 2,Lymphoma,MedTrials International,Double Blind,2023-12-18,2025-10-08,22,64,45,8,1,False,False
TRIAL-0062,Phase 3,Pancreatic Cancer,Global BioResearch,Double Blind,2020-11-22,2025-05-30,55,399,87,5,1,False,False
TRIAL-0063,Phase 3,Pancreatic Cancer,Global BioResearch,Triple Blind,2022-10-22,2027-10-26,61,535,353,5,2,False,True
TRIAL-0064,Phase 2,Colorectal Cancer,MedTrials International,Single Blind,2020-07-11,2021-06-06,11,85,38,1,1,False,True
TRIAL-0065,Phase 2,Lymphoma,Apex Oncology Labs,Double Blind,2018-08-01,2021-09-14,38,147,104,8,1,False,False
TRIAL-0066,Phase 1,Leukemia,Global BioResearch,Open Label,2018-01-08,2019-05-03,16,37,28,3,1,False,True
TRIAL-0067,Phase 1,Colorectal Cancer,Global BioResearch,Open Label,2018-10-07,2020-05-29,20,34,20,3,1,False,True
TRIAL-0068,Phase 2,Leukemia,Global BioResearch,Double Blind,2019-05-04,2022-05-18,37,101,84,7,2,False,True
TRIAL-0069,Phase 4,Lymphoma,NovaCure Biotech,Double Blind,2023-11-08,2026-08-24,34,308,177,11,1,False,True
TRIAL-0070,Phase 3,Lung Cancer,MedTrials International,Triple Blind,2021-11-12,2026-02-19,52,264,256,6,1,True,True
TRIAL-0071,Phase 2,Breast Cancer,MedTrials International,Single Blind,2020-11-27,2024-02-10,39,73,49,5,1,False,True
TRIAL-0072,Phase 1,Colorectal Cancer,Clinical Research Group A,Open Label,2020-10-26,2021-10-21,12,41,26,3,1,False,False
TRIAL-0073,Phase 3,Pancreatic Cancer,NovaCure Biotech,Triple Blind,2019-02-09,2022-12-20,47,388,324,13,2,False,False
TRIAL-0074,Phase 1,Pancreatic Cancer,Helix Therapeutics,Open Label,2020-01-16,2020-11-11,10,30,23,2,1,False,False
TRIAL-0075,Phase 1,Prostate Cancer,Apex Oncology Labs,Open Label,2020-10-23,2022-11-12,25,31,19,2,1,False,False
TRIAL-0076,Phase 2,Prostate Cancer,OncoPharm Therapeutics,Open Label,2019-12-16,2023-03-30,40,109,69,5,1,False,True
TRIAL-0077,Phase 2,Breast Cancer,OncoPharm Therapeutics,Open Label,2020-11-19,2022-12-09,25,161,150,17,2,True,True
TRIAL-0078,Phase 2,Leukemia,NovaCure Biotech,Double Blind,2023-08-09,2025-08-28,25,119,104,6,1,False,True
TRIAL-0079,Phase 1,Prostate Cancer,Apex Oncology Labs,Open Label,2023-03-07,2024-07-29,17,40,14,3,1,False,True
TRIAL-0080,Phase 2,Melanoma,OncoPharm Therapeutics,Double Blind,2019-05-01,2021-10-17,30,145,86,4,1,False,False
TRIAL-0081,Phase 1,Breast Cancer,OncoPharm Therapeutics,Open Label,2019-11-28,2021-07-20,20,15,10,3,1,False,False
TRIAL-0082,Phase 1,Breast Cancer,Helix Therapeutics,Open Label,2021-06-06,2023-01-27,20,16,14,2,1,False,False
TRIAL-0083,Phase 2,Pancreatic Cancer,OncoPharm Therapeutics,Double Blind,2022-11-22,2024-11-11,24,98,84,5,1,False,True
TRIAL-0084,Phase 1,Melanoma,OncoPharm Therapeutics,Single Blind,2022-07-20,2023-12-12,17,24,21,1,1,False,True
TRIAL-0085,Phase 2,Lymphoma,NovaCure Biotech,Double Blind,2021-05-19,2024-06-02,37,158,104,4,2,False,True
TRIAL-0086,Phase 2,Lung Cancer,MedTrials International,Open Label,2020-11-03,2023-06-21,32,96,79,3,1,False,True
TRIAL-0087,Phase 1,Lung Cancer,Global BioResearch,Open Label,2023-10-16,2024-05-13,7,27,15,2,1,False,True
TRIAL-0088,Phase 1,Melanoma,Clinical Research Group A,Single Blind,2023-04-09,2024-09-30,18,35,30,1,1,False,False
TRIAL-0089,Phase 2,Prostate Cancer,NovaCure Biotech,Open Label,2023-03-09,2025-05-27,27,51,39,1,1,False,False
TRIAL-0090,Phase 1,Colorectal Cancer,MedTrials International,Open Label,2022-05-15,2024-03-05,22,23,13,3,1,False,True
TRIAL-0091,Phase 3,Lymphoma,Apex Oncology Labs,Double Blind,2022-01-14,2026-12-19,60,399,220,20,2,False,False
TRIAL-0092,Phase 2,Breast Cancer,OncoPharm Therapeutics,Open Label,2022-10-01,2024-02-23,17,68,34,3,1,False,False
TRIAL-0093,Phase 3,Melanoma,Helix Therapeutics,Double Blind,2023-08-09,2026-11-21,40,260,218,10,1,False,True
TRIAL-0094,Phase 2,Pancreatic Cancer,OncoPharm Therapeutics,Single Blind,2023-02-28,2025-09-15,31,82,43,5,1,False,True
TRIAL-0095,Phase 2,Pancreatic Cancer,Apex Oncology Labs,Double Blind,2022-01-15,2024-09-01,32,97,69,5,2,False,True
TRIAL-0096,Phase 2,Lung Cancer,MedTrials International,Single Blind,2018-11-28,2020-10-18,23,106,73,6,2,False,True
TRIAL-0097,Phase 2,Prostate Cancer,Helix Therapeutics,Single Blind,2021-01-07,2022-04-02,15,69,68,8,1,True,True
TRIAL-0098,Phase 1,Melanoma,NovaCure Biotech,Single Blind,2018-01-21,2019-06-15,17,37,20,2,1,False,True
TRIAL-0099,Phase 1,Colorectal Cancer,Apex Oncology Labs,Open Label,2021-02-08,2022-04-04,14,25,13,3,1,False,False
TRIAL-0100,Phase 4,Pancreatic Cancer,OncoPharm Therapeutics,Double Blind,2023-05-17,2026-05-31,37,346,253,9,1,False,False
TRIAL-0101,Phase 2,Pancreatic Cancer,NovaCure Biotech,Open Label,2019-10-17,2021-09-06,23,102,56,6,1,False,False
TRIAL-0102,Phase 1,Lung Cancer,Apex Oncology Labs,Open Label,2020-09-09,2021-03-08,6,35,26,2,1,False,False
TRIAL-0103,Phase 2,Melanoma,MedTrials International,Double Blind,2019-08-18,2021-06-08,22,110,61,7,1,False,True
TRIAL-0104,Phase 2,Lymphoma,NovaCure Biotech,Double Blind,2023-04-19,2025-06-07,26,33,29,1,1,False,True
TRIAL-0105,Phase 3,Lymphoma,OncoPharm Therapeutics,Double Blind,2021-07-22,2025-07-31,49,482,382,20,3,False,False
TRIAL-0106,Phase 3,Colorectal Cancer,NovaCure Biotech,Triple Blind,2022-06-28,2027-05-03,59,456,326,9,1,False,True
TRIAL-0107,Phase 3,Lung Cancer,Helix Therapeutics,Triple Blind,2021-11-05,2027-04-08,66,408,253,5,2,False,True
TRIAL-0108,Phase 3,Melanoma,Apex Oncology Labs,Double Blind,2020-11-28,2026-01-31,63,440,250,17,2,False,False
TRIAL-0109,Phase 4,Pancreatic Cancer,MedTrials International,Double Blind,2023-11-10,2027-11-19,49,173,135,6,1,False,False
TRIAL-0110,Phase 3,Lymphoma,OncoPharm Therapeutics,Triple Blind,2023-05-01,2027-06-09,50,500,243,8,1,False,True
TRIAL-0111,Phase 3,Melanoma,Apex Oncology Labs,Double Blind,2021-10-22,2025-11-30,50,483,466,24,2,True,False
TRIAL-0112,Phase 1,Lung Cancer,Helix Therapeutics,Single Blind,2023-04-16,2025-06-04,26,56,39,3,1,False,False
TRIAL-0113,Phase 1,Pancreatic Cancer,Clinical Research Group A,Open Label,2023-01-26,2023-12-22,11,35,24,2,1,False,True
TRIAL-0114,Phase 2,Colorectal Cancer,OncoPharm Therapeutics,Single Blind,2020-11-14,2024-10-24,48,156,115,4,2,False,False
TRIAL-0115,Phase 2,Melanoma,Global BioResearch,Double Blind,2019-07-19,2022-05-04,34,115,80,8,1,False,True
TRIAL-0116,Phase 2,Melanoma,OncoPharm Therapeutics,Double Blind,2021-05-01,2022-07-25,15,30,18,3,1,False,True
TRIAL-0117,Phase 3,Breast Cancer,Helix Therapeutics,Double Blind,2019-10-26,2024-07-01,57,373,238,14,3,False,True
TRIAL-0118,Phase 2,Melanoma,Clinical Research Group A,Double Blind,2019-11-04,2021-05-27,19,95,92,8,2,True,False
TRIAL-0119,Phase 2,Melanoma,MedTrials International,Single Blind,2019-02-10,2020-12-01,22,115,78,6,1,False,True
TRIAL-0120,Phase 2,Prostate Cancer,Global BioResearch,Double Blind,2020-03-09,2024-02-17,48,104,56,4,1,False,False
TRIAL-0121,Phase 4,Melanoma,Clinical Research Group A,Double Blind,2018-03-25,2020-03-14,24,133,132,8,1,True,False
TRIAL-0122,Phase 3,Lymphoma,MedTrials International,Triple Blind,2021-01-09,2025-09-15,57,420,334,16,1,False,False
TRIAL-0123,Phase 2,Melanoma,Helix Therapeutics,Single Blind,2018-11-08,2021-01-26,27,60,42,7,2,False,True
TRIAL-0124,Phase 2,Leukemia,Helix Therapeutics,Open Label,2023-08-23,2025-12-10,28,100,78,2,1,False,True
TRIAL-0125,Phase 2,Colorectal Cancer,OncoPharm Therapeutics,Double Blind,2018-02-08,2020-11-24,34,96,86,4,2,False,False
TRIAL-0126,Phase 1,Pancreatic Cancer,Apex Oncology Labs,Open Label,2023-09-14,2024-11-07,14,20,14,3,1,False,True
TRIAL-0127,Phase 3,Lymphoma,Clinical Research Group A,Double Blind,2020-01-23,2022-10-09,33,306,82,5,2,False,True
TRIAL-0128,Phase 2,Prostate Cancer,MedTrials International,Single Blind,2023-06-02,2026-06-16,37,75,72,7,1,True,True
TRIAL-0129,Phase 1,Lung Cancer,MedTrials International,Single Blind,2023-04-21,2025-02-09,22,15,10,1,1,False,True
TRIAL-0130,Phase 4,Breast Cancer,MedTrials International,Single Blind,2022-04-03,2026-12-08,57,198,97,3,1,False,False
TRIAL-0131,Phase 2,Prostate Cancer,MedTrials International,Double Blind,2022-01-09,2023-06-03,17,120,89,4,2,False,False
TRIAL-0132,Phase 1,Colorectal Cancer,Helix Therapeutics,Open Label,2018-11-28,2020-02-21,15,31,13,1,1,False,True
TRIAL-0133,Phase 1,Prostate Cancer,Helix Therapeutics,Open Label,2020-01-05,2021-05-29,17,35,23,1,1,False,False
TRIAL-0134,Phase 2,Lung Cancer,NovaCure Biotech,Single Blind,2018-08-17,2020-09-05,25,124,121,4,1,True,True
TRIAL-0135,Phase 2,Melanoma,NovaCure Biotech,Double Blind,2018-08-28,2021-10-11,38,105,48,2,1,False,True
TRIAL-0136,Phase 3,Pancreatic Cancer,Clinical Research Group A,Triple Blind,2020-10-05,2024-10-14,49,311,297,7,2,True,True
TRIAL-0137,Phase 2,Leukemia,NovaCure Biotech,Double Blind,2022-10-14,2023-12-08,14,105,98,6,1,True,True
TRIAL-0138,Phase 3,Prostate Cancer,NovaCure Biotech,Double Blind,2021-07-14,2027-05-14,71,498,330,12,2,False,False
TRIAL-0139,Phase 2,Leukemia,Clinical Research Group A,Open Label,2023-08-03,2025-02-23,19,98,61,3,1,False,True
TRIAL-0140,Phase 1,Lymphoma,OncoPharm Therapeutics,Open Label,2019-09-02,2020-07-28,11,39,12,2,1,False,True
TRIAL-0141,Phase 2,Leukemia,Clinical Research Group A,Open Label,2021-12-02,2025-01-15,38,93,74,4,2,False,False
TRIAL-0142,Phase 2,Leukemia,OncoPharm Therapeutics,Double Blind,2019-11-16,2022-09-01,34,131,77,3,1,False,True
TRIAL-0143,Phase 1,Leukemia,OncoPharm Therapeutics,Open Label,2019-07-28,2021-06-17,23,31,24,3,1,False,True
TRIAL-0144,Phase 3,Breast Cancer,Helix Therapeutics,Triple Blind,2020-12-25,2023-07-13,31,391,213,13,1,False,True
TRIAL-0145,Phase 2,Breast Cancer,Global BioResearch,Double Blind,2018-03-24,2020-10-09,31,115,47,6,2,False,True
TRIAL-0146,Phase 1,Prostate Cancer,NovaCure Biotech,Open Label,2019-06-10,2020-05-05,11,15,10,2,1,False,False
TRIAL-0147,Phase 3,Lung Cancer,OncoPharm Therapeutics,Double Blind,2020-08-22,2025-09-25,62,458,360,6,2,False,True
TRIAL-0148,Phase 2,Lymphoma,Apex Oncology Labs,Open Label,2021-02-10,2022-03-07,13,79,72,6,1,True,False
TRIAL-0149,Phase 2,Melanoma,OncoPharm Therapeutics,Open Label,2019-05-07,2020-11-27,19,87,74,6,1,False,False
TRIAL-0150,Phase 3,Melanoma,Apex Oncology Labs,Double Blind,2019-03-13,2023-10-18,56,396,353,20,3,False,False
TRIAL-0151,Phase 1,Leukemia,OncoPharm Therapeutics,Open Label,2018-07-01,2019-08-25,14,39,14,3,1,False,True
TRIAL-0152,Phase 1,Leukemia,Helix Therapeutics,Open Label,2023-11-14,2025-05-07,18,31,29,2,1,True,True
TRIAL-0153,Phase 2,Leukemia,Global BioResearch,Double Blind,2023-06-03,2025-07-22,26,81,61,6,1,False,True
TRIAL-0154,Phase 1,Lymphoma,Helix Therapeutics,Open Label,2021-05-24,2022-09-16,16,44,27,1,1,False,True
TRIAL-0155,Phase 2,Colorectal Cancer,OncoPharm Therapeutics,Double Blind,2022-09-07,2025-01-24,29,106,76,2,1,False,False
TRIAL-0156,Phase 2,Colorectal Cancer,Global BioResearch,Open Label,2022-03-25,2025-03-09,36,81,49,4,1,False,False
TRIAL-0157,Phase 1,Pancreatic Cancer,NovaCure Biotech,Open Label,2021-11-19,2022-12-14,13,28,14,3,1,False,True
TRIAL-0158,Phase 4,Leukemia,MedTrials International,Double Blind,2018-08-15,2022-08-24,49,168,146,4,1,False,True
TRIAL-0159,Phase 3,Breast Cancer,Apex Oncology Labs,Double Blind,2018-01-12,2022-11-17,59,286,129,4,1,False,False
TRIAL-0160,Phase 1,Lung Cancer,Helix Therapeutics,Open Label,2021-10-18,2023-09-08,23,34,22,2,1,False,False
TRIAL-0161,Phase 3,Breast Cancer,NovaCure Biotech,Triple Blind,2021-09-05,2025-03-18,43,553,326,11,2,False,False
TRIAL-0162,Phase 2,Leukemia,Clinical Research Group A,Open Label,2019-12-15,2022-02-02,26,74,43,7,1,False,False
TRIAL-0163,Phase 2,Colorectal Cancer,Apex Oncology Labs,Single Blind,2020-11-20,2023-09-06,34,100,94,4,1,True,True
TRIAL-0164,Phase 2,Leukemia,OncoPharm Therapeutics,Single Blind,2020-05-24,2023-01-09,32,59,48,6,2,False,False
TRIAL-0165,Phase 4,Colorectal Cancer,Apex Oncology Labs,Open Label,2020-11-23,2023-12-08,37,202,191,9,2,True,True
TRIAL-0166,Phase 1,Lung Cancer,Apex Oncology Labs,Open Label,2020-03-22,2020-11-17,8,34,26,3,1,False,False
TRIAL-0167,Phase 4,Lung Cancer,Clinical Research Group A,Double Blind,2020-03-07,2023-05-21,39,257,171,16,1,False,True
TRIAL-0168,Phase 3,Prostate Cancer,Global BioResearch,Triple Blind,2018-09-25,2020-12-13,27,347,333,9,1,True,False
TRIAL-0169,Phase 3,Breast Cancer,Clinical Research Group A,Double Blind,2019-03-06,2024-03-09,61,359,226,9,1,False,False
TRIAL-0170,Phase 3,Colorectal Cancer,Clinical Research Group A,Double Blind,2023-04-15,2025-12-30,33,531,466,41,2,False,False
TRIAL-0171,Phase 3,Pancreatic Cancer,Global BioResearch,Double Blind,2021-04-12,2025-03-22,48,566,469,34,3,False,False
TRIAL-0172,Phase 2,Pancreatic Cancer,NovaCure Biotech,Double Blind,2022-07-06,2024-12-22,30,93,78,8,1,False,False
TRIAL-0173,Phase 3,Colorectal Cancer,MedTrials International,Double Blind,2022-02-23,2025-02-07,36,376,261,20,3,False,False
TRIAL-0174,Phase 3,Melanoma,OncoPharm Therapeutics,Triple Blind,2022-03-27,2026-07-04,52,432,332,13,2,False,True
TRIAL-0175,Phase 4,Prostate Cancer,MedTrials International,Single Blind,2021-01-13,2022-09-05,20,154,98,4,2,False,True
TRIAL-0176,Phase 1,Lung Cancer,Apex Oncology Labs,Open Label,2018-12-21,2020-05-14,17,35,17,2,1,False,True
TRIAL-0177,Phase 1,Breast Cancer,Apex Oncology Labs,Single Blind,2023-03-25,2024-10-15,19,23,21,2,1,True,False
TRIAL-0178,Phase 2,Breast Cancer,OncoPharm Therapeutics,Open Label,2019-09-24,2023-08-04,47,114,93,3,1,False,True
TRIAL-0179,Phase 2,Melanoma,Global BioResearch,Single Blind,2019-07-21,2021-03-12,20,99,52,2,1,False,False
TRIAL-0180,Phase 2,Lung Cancer,MedTrials International,Double Blind,2023-09-19,2026-02-05,29,101,73,6,1,False,True
TRIAL-0181,Phase 1,Lymphoma,OncoPharm Therapeutics,Open Label,2022-07-06,2024-01-27,19,19,13,1,1,False,True
TRIAL-0182,Phase 1,Leukemia,OncoPharm Therapeutics,Single Blind,2022-09-18,2023-12-12,15,22,17,3,1,False,True
TRIAL-0183,Phase 3,Breast Cancer,Clinical Research Group A,Double Blind,2018-06-26,2022-10-03,52,508,307,16,2,False,True
TRIAL-0184,Phase 1,Lung Cancer,MedTrials International,Open Label,2019-01-12,2020-01-07,12,51,34,2,1,False,True
TRIAL-0185,Phase 3,Colorectal Cancer,MedTrials International,Triple Blind,2021-11-06,2024-10-21,36,347,218,19,3,False,False
TRIAL-0186,Phase 1,Pancreatic Cancer,OncoPharm Therapeutics,Open Label,2019-01-11,2020-12-01,23,37,18,1,1,False,False
TRIAL-0187,Phase 2,Pancreatic Cancer,Apex Oncology Labs,Open Label,2020-01-28,2021-04-22,15,96,66,7,1,False,False
TRIAL-0188,Phase 2,Leukemia,NovaCure Biotech,Double Blind,2021-06-06,2022-07-31,14,160,73,7,1,False,True
TRIAL-0189,Phase 2,Melanoma,MedTrials International,Open Label,2022-03-18,2025-05-31,39,82,63,5,1,False,True
TRIAL-0190,Phase 1,Leukemia,Clinical Research Group A,Open Label,2022-12-14,2024-07-06,19,37,31,2,1,False,True
TRIAL-0191,Phase 2,Pancreatic Cancer,OncoPharm Therapeutics,Double Blind,2021-05-21,2022-03-17,10,91,49,4,2,False,False
TRIAL-0192,Phase 4,Lung Cancer,Clinical Research Group A,Double Blind,2023-11-06,2027-06-18,44,214,117,4,1,False,False
TRIAL-0193,Phase 1,Pancreatic Cancer,OncoPharm Therapeutics,Open Label,2023-06-12,2024-04-07,10,17,15,1,1,False,True
TRIAL-0194,Phase 2,Colorectal Cancer,Clinical Research Group A,Single Blind,2020-08-25,2023-05-12,33,91,38,2,1,False,True
TRIAL-0195,Phase 1,Leukemia,NovaCure Biotech,Open Label,2019-02-01,2020-11-22,22,16,10,2,1,False,False
TRIAL-0196,Phase 2,Lymphoma,Helix Therapeutics,Open Label,2021-04-20,2023-05-10,25,136,113,8,1,False,True
TRIAL-0197,Phase 4,Pancreatic Cancer,Global BioResearch,Open Label,2023-08-03,2026-05-19,34,222,175,7,1,False,False
TRIAL-0198,Phase 4,Leukemia,Clinical Research Group A,Single Blind,2022-09-10,2025-09-24,37,137,88,2,1,False,False
TRIAL-0199,Phase 3,Colorectal Cancer,MedTrials International,Double Blind,2019-03-08,2022-03-22,37,445,247,12,1,False,False
TRIAL-0200,Phase 1,Leukemia,NovaCure Biotech,Single Blind,2019-10-03,2021-04-25,19,34,17,3,1,False,True
TRIAL-0201,Phase 2,Pancreatic Cancer,Helix Therapeutics,Single Blind,2018-03-11,2020-05-29,27,80,66,5,2,False,True
TRIAL-0202,Phase 2,Leukemia,Global BioResearch,Double Blind,2022-03-25,2024-08-11,29,160,123,8,1,False,False
TRIAL-0203,Phase 2,Breast Cancer,MedTrials International,Open Label,2020-03-06,2021-11-26,21,113,56,3,1,False,True
TRIAL-0204,Phase 3,Leukemia,Helix Therapeutics,Triple Blind,2023-09-09,2028-02-15,54,429,360,7,1,False,True
TRIAL-0205,Phase 2,Lung Cancer,Helix Therapeutics,Double Blind,2019-03-22,2021-12-06,33,110,79,6,2,False,True
TRIAL-0206,Phase 4,Leukemia,MedTrials International,Double Blind,2018-02-02,2019-12-24,23,238,203,6,2,False,False
TRIAL-0207,Phase 3,Melanoma,Clinical Research Group A,Double Blind,2023-01-16,2025-09-02,32,235,93,6,1,False,False
